dedupe	devocalize	split 1	split 2	split 3	split4	IsWord
אָלעװנע 	אָלעװנע 	אָלעװנע				
אָלעװסק 	אָלעװסק 	אָלעװסק				
אלעכסענדער	אלעכסענדער	אלעכסענדער				
אָלעניטש 	אָלעניטש 	אָלעניטש				
אלעסאנדריא	אלעסאנדריא	אלעסאנדריא				
אַלעסאַנדריאַ	אַלעסאַנדריאַ	אַלעסאַנדריאַ				
אלעסאנדריא די לה פאליא	אלעסאנדריא די לה פאליא	אלעסאנדריא	די	לה	פאליא	
אלעסק	אלעסק	אלעסק				
אַלעסק	אַלעסק	אַלעסק				
אַלעסק 	אַלעסק 	אַלעסק				
אלעסקא	אלעסקא	אלעסקא				
אלעסקאוו	אלעסקאוו	אלעסקאוו				
אָלעסקאָװ 	אָלעסקאָװ 	אָלעסקאָװ				
אלעפאליע	אלעפאליע	אלעפאליע				
אָלעפּאָליע 	אָלעפּאָליע 	אָלעפּאָליע				
אלעצק	אלעצק	אלעצק				
אָלעצק	אָלעצק	אָלעצק				
אלעקוויפא	אלעקוויפא	אלעקוויפא				
אלעקס	אלעקס	אלעקס				
אַלעקס	אַלעקס	אַלעקס				
אלעקסאט	אלעקסאט	אלעקסאט				
אַלעקסאָט	אַלעקסאָט	אַלעקסאָט				
אַלעקסאָט	אַלעקסאָט	אַלעקסאָט				
אַלעקסאָט 	אַלעקסאָט 	אַלעקסאָט				
אלעקסאנדאווע	אלעקסאנדאווע	אלעקסאנדאווע				
אלעקסאנדואוו	אלעקסאנדואוו	אלעקסאנדואוו				
אלעקסאנדער	אלעקסאנדער	אלעקסאנדער				
אַלעקסאַנדער	אַלעקסאַנדער	אַלעקסאַנדער				
אַלעקסאַנדער 	אַלעקסאַנדער 	אַלעקסאַנדער				
אלעקסאנדראווסק	אלעקסאנדראווסק	אלעקסאנדראווסק				
אלעקסאנדראווקע	אלעקסאנדראווקע	אלעקסאנדראווקע				
אַלעקסאַנדראָװיטש 	אַלעקסאַנדראָװיטש 	אַלעקסאַנדראָװיטש				
אַלעקסאנדראָװסק	אַלעקסאנדראָװסק	אַלעקסאנדראָװסק				
אַלעקסאַנדראָװסקע	אַלעקסאַנדראָװסקע	אַלעקסאַנדראָװסקע				
אַלעקסאַנדראָװע	אַלעקסאַנדראָװע	אַלעקסאַנדראָװע				
אַלעקסאַנדראָװע דעקי 	אַלעקסאַנדראָװע דעקי 	אַלעקסאַנדראָװע	דעקי			
אַלעקסאַנדראָװקע	אַלעקסאַנדראָװקע	אַלעקסאַנדראָװקע				
אַלעקסאַנדראָװקע 	אַלעקסאַנדראָװקע 	אַלעקסאַנדראָװקע				
אלעקסאנדרי	אלעקסאנדרי	אלעקסאנדרי				
אַלעקסאַנדרי	אַלעקסאַנדרי	אַלעקסאַנדרי				
אלעקסאנדריא	אלעקסאנדריא	אלעקסאנדריא				
אלעקסאנדריע	אלעקסאנדריע	אלעקסאנדריע				
אַלעקסאַנדריע	אַלעקסאַנדריע	אַלעקסאַנדריע				
אַלעקסאַנדריע 	אַלעקסאַנדריע 	אַלעקסאַנדריע				
אלעקסאנדרען	אלעקסאנדרען	אלעקסאנדרען				
אלעקסאנטראווסקע	אלעקסאנטראווסקע	אלעקסאנטראווסקע				
אלעקסניץ	אלעקסניץ	אלעקסניץ				
אלעשיץ	אלעשיץ	אלעשיץ				
אָלעשיץ	אָלעשיץ	אָלעשיץ				
אָלעשיץ 	אָלעשיץ 	אָלעשיץ				
אָלעשניק	אָלעשניק	אָלעשניק				
אלפארעט	אלפארעט	אלפארעט				
אָלפּאָרעט	אָלפּאָרעט	אָלפּאָרעט				
אלפין	אלפין	אלפין				
אַלפּין	אַלפּין	אַלפּין				
אָלפּין 	אָלפּין 	אָלפּין				
אל פראגו	אל פראגו	אל	פראגו			
אל פראנו	אל פראנו	אל	פראנו			
אלפריד	אלפריד	אלפריד				
אלפריט	אלפריט	אלפריט				
אלפרעט	אלפרעט	אלפרעט				
אָלפּרעט	אָלפּרעט	אָלפּרעט				
אלפּשטעש	אלפּשטעש	אלפּשטעש				
אלצייא	אלצייא	אלצייא				
אלקוליא	אלקוליא	אלקוליא				
אלקוליעא	אלקוליעא	אלקוליעא				
אלקוליעה	אלקוליעה	אלקוליעה				
אלקוליעה דסינקה	אלקוליעה דסינקה	אלקוליעה	דסינקה			
אלקיש	אלקיש	אלקיש				
אלקלע	אלקלע	אלקלע				
אלקנוס	אלקנוס	אלקנוס				
אלקניס	אלקניס	אלקניס				
אלקסנדר	אלקסנדר	אלקסנדר				
אל-קסר אל-כביר	אל-קסר אל-כביר	אל-קסר	אל-כביר			
אלקעניק	אלקעניק	אלקעניק				
אָלקעניק 	אָלקעניק 	אָלקעניק				
אלשאאבראני	אלשאאבראני	אלשאאבראני				
אָלשאָאַבראַני	אָלשאָאַבראַני	אָלשאָאַבראַני				
אלשאאידעטש	אלשאאידעטש	אלשאאידעטש				
אָלשאָאידעטש	אָלשאָאידעטש	אָלשאָאידעטש				
אָלשאָאָלטשװאָ	אָלשאָאָלטשװאָ	אָלשאָאָלטשװאָ				
אָלשאָדיערטיאַן	אָלשאָדיערטיאַן	אָלשאָדיערטיאַן				
אלשאהאדימאש	אלשאהאדימאש	אלשאהאדימאש				
אָלשאָהאָדימאַש	אָלשאָהאָדימאַש	אָלשאָהאָדימאַש				
אלשאוויץ	אלשאוויץ	אלשאוויץ				
אלשאווע	אלשאווע	אלשאווע				
אָלשאָװיץ	אָלשאָװיץ	אָלשאָװיץ				
אָלשאָװע	אָלשאָװע	אָלשאָװע				
אלשאזשאלצא	אלשאזשאלצא	אלשאזשאלצא				
אָלשאָזשאָלצאָ	אָלשאָזשאָלצאָ	אָלשאָזשאָלצאָ				
אלשאזשוק	אלשאזשוק	אלשאזשוק				
אָלשאָזשוק	אָלשאָזשוק	אָלשאָזשוק				
אלשאטריט	אלשאטריט	אלשאטריט				
אלשא טשאבאנקע	אלשא טשאבאנקע	אלשא	טשאבאנקע			
אָלשאָיאָרע	אָלשאָיאָרע	אָלשאָיאָרע				
אלשאן	אלשאן	אלשאן				
אָלשאַן	אָלשאַן	אָלשאַן				
אָלשאַן 	אָלשאַן 	אָלשאַן				
אלשאנערעסניצע	אלשאנערעסניצע	אלשאנערעסניצע				
אָלשאָנערעסניצע	אָלשאָנערעסניצע	אָלשאָנערעסניצע				
אלשאסאלאק	אלשאסאלאק	אלשאסאלאק				
אָלשאָסאָלאָק	אָלשאָסאָלאָק	אָלשאָסאָלאָק				
אלשאסאפאר	אלשאסאפאר	אלשאסאפאר				
אָלשאָסאָפּאָר	אָלשאָסאָפּאָר	אָלשאָסאָפּאָר				
אָלשאָסענעװער	אָלשאָסענעװער	אָלשאָסענעװער				
אלשאקובין	אלשאקובין	אלשאקובין				
אָלשאָקובין	אָלשאָקובין	אָלשאָקובין				
אלשאקערטוועליעש	אלשאקערטוועליעש	אלשאקערטוועליעש				
אָלשאָקערטװעליעש	אָלשאָקערטװעליעש	אָלשאָקערטװעליעש				
אלשאראקאש	אלשאראקאש	אלשאראקאש				
אָלשאָראַקאָש	אָלשאָראַקאָש	אָלשאָראַקאָש				
אלשאריערטיאן	אלשאריערטיאן	אלשאריערטיאן				
אלשא שעבעש	אלשא שעבעש	אלשא	שעבעש			
אלשוב	אלשוב	אלשוב				
אלשויא אידעטש	אלשויא אידעטש	אלשויא	אידעטש			
אָלשװיל	אָלשװיל	אָלשװיל				
אלשיוויץ	אלשיוויץ	אלשיוויץ				
אָלשעװיץ 	אָלשעװיץ 	אָלשעװיץ				
אמאנפארד	אמאנפארד	אמאנפארד				
אָמאץ	אָמאץ	אָמאץ				
אמאריכא	אמאריכא	אמאריכא				
אָמבאָד	אָמבאָד	אָמבאָד				
אמבאר	אמבאר	אמבאר				
אמגאד	אמגאד	אמגאד				
אמדור	אמדור	אמדור				
אַמדור	אַמדור	אַמדור				
אַמדור 	אַמדור 	אַמדור				
אמור	אמור	אמור				
אַמור	אַמור	אַמור				
אמטיסלאוו	אמטיסלאוו	אמטיסלאוו				
אמטשבוב	אמטשבוב	אמטשבוב				
אמטשוב	אמטשוב	אמטשוב				
אמטשיסלאוו	אמטשיסלאוו	אמטשיסלאוו				
אַמטשיסלאַװ	אַמטשיסלאַװ	אַמטשיסלאַװ				
אַמטשיסלעװ 	אַמטשיסלעװ 	אַמטשיסלעװ				
אמטשישלו	אמטשישלו	אמטשישלו				
אמיספורט	אמיספורט	אמיספורט				
אמירספארט	אמירספארט	אמירספארט				
אמכװע	אמכװע	אמכװע				
אמנאש טירשציזנא	אמנאש טירשציזנא	אמנאש	טירשציזנא			
אמסאנע	אמסאנע	אמסאנע				
אַמסאַנע	אַמסאַנע	אַמסאַנע				
אמסטאוו	אמסטאוו	אמסטאוו				
אַמסטאָװ	אַמסטאָװ	אַמסטאָװ				
אמסטוב	אמסטוב	אמסטוב				
אמסטיבעווע	אמסטיבעווע	אמסטיבעווע				
אַמסטיבעװע	אַמסטיבעװע	אַמסטיבעװע				
אַמסטיבעװע 	אַמסטיבעװע 	אַמסטיבעװע				
אמסטערדאם	אמסטערדאם	אמסטערדאם				
אַמסטערדאַם	אַמסטערדאַם	אַמסטערדאַם				
אמסטרדאם	אמסטרדאם	אמסטרדאם				
אמסטרדם	אמסטרדם	אמסטרדם				
אמסטרשצינע	אמסטרשצינע	אמסטרשצינע				
אַמסידאָװ	אַמסידאָװ	אַמסידאָװ				
אַמסענע	אַמסענע	אַמסענע				
אמספארד	אמספארד	אמספארד				
אמענעבורג	אמענעבורג	אמענעבורג				
אַמענעבורג	אַמענעבורג	אַמענעבורג				
אמערספארט	אמערספארט	אמערספארט				
אַמערספאָרט	אַמערספאָרט	אַמערספאָרט				
אמשאנאוו	אמשאנאוו	אמשאנאוו				
אמשטיבעווע	אמשטיבעווע	אמשטיבעווע				
אמשטערדאם	אמשטערדאם	אמשטערדאם				
אמשטרדאם	אמשטרדאם	אמשטרדאם				
אמשטרדם	אמשטרדם	אמשטרדם				
אמשינאב	אמשינאב	אמשינאב				
אמשינאוו	אמשינאוו	אמשינאוו				
אַמשינאָװ	אַמשינאָװ	אַמשינאָװ				
אַמשינע	אַמשינע	אַמשינע				
אמשנאב	אמשנאב	אמשנאב				
אמשנאוו	אמשנאוו	אמשנאוו				
אמשנוב	אמשנוב	אמשנוב				
אמשענאוו	אמשענאוו	אמשענאוו				
אמשענוב	אמשענוב	אמשענוב				
אמשענע	אמשענע	אמשענע				
אַמשענע 	אַמשענע 	אַמשענע				
אמשענעוו	אמשענעוו	אמשענעוו				
אַמשענעװ 	אַמשענעװ 	אַמשענעװ				
אַנאַ	אַנאַ	אַנאַ				
אנאד	אנאד	אנאד				
אָנאָד	אָנאָד	אָנאָד				
אַנאַטאָװקע	אַנאַטאָװקע	אַנאַטאָװקע				
אַנאַטעװקע 	אַנאַטעװקע 	אַנאַטעװקע				
אנאניעוו	אנאניעוו	אנאניעוו				
אַנאַניעװ	אַנאַניעװ	אַנאַניעװ				
אַנאַניעװ 	אַנאַניעװ 	אַנאַניעװ				
אנאר	אנאר	אנאר				
אנארטש	אנארטש	אנארטש				
אָנאָרטש	אָנאָרטש	אָנאָרטש				
אנבאד	אנבאד	אנבאד				
אנגילו קסטרו	אנגילו קסטרו	אנגילו	קסטרו			
אנגליא	אנגליא	אנגליא				
אנגליה	אנגליה	אנגליה				
אנגע	אנגע	אנגע				
אָנגע	אָנגע	אָנגע				
אנגען	אנגען	אנגען				
אנגערמינדע	אנגערמינדע	אנגערמינדע				
אַנגערמינדע	אַנגערמינדע	אַנגערמינדע				
אנדארנאק	אנדארנאק	אנדארנאק				
אָנדאָרנאָק	אָנדאָרנאָק	אָנדאָרנאָק				
אנדז'אייבה	אנדז'אייבה	אנדז'אייבה				
אנדז'ייוב	אנדז'ייוב	אנדז'ייוב				
אנדיג'אן	אנדיג'אן	אנדיג'אן				
אנדילאש	אנדילאש	אנדילאש				
אנדירנופלה	אנדירנופלה	אנדירנופלה				
אָנדע	אָנדע	אָנדע				
אַנדראָװיץ	אַנדראָװיץ	אַנדראָװיץ				
אָנדראַש	אָנדראַש	אָנדראַש				
אַנדראָשאָװיץ	אַנדראָשאָװיץ	אַנדראָשאָװיץ				
אנדרופלי	אנדרופלי	אנדרופלי				
אנדרושיווקע	אנדרושיווקע	אנדרושיווקע				
אנדריי	אנדריי	אנדריי				
אנדריכאוו	אנדריכאוו	אנדריכאוו				
אַנדריכאָװ	אַנדריכאָװ	אַנדריכאָװ				
אנדריכאף	אנדריכאף	אנדריכאף				
אנדריכוב	אנדריכוב	אנדריכוב				
אנדרישיווקע	אנדרישיווקע	אנדרישיווקע				
אַנדרישיװקע 	אַנדרישיװקע 	אַנדרישיװקע				
אַנדרישיצע	אַנדרישיצע	אַנדרישיצע				
אנדרנך	אנדרנך	אנדרנך				
אנווער	אנווער	אנווער				
אַנושישאָק	אַנושישאָק	אַנושישאָק				
אנט.	אנט.	אנט.				
אַנטאַלאָװיץ 	אַנטאַלאָװיץ 	אַנטאַלאָװיץ				
אָנטאָלאָץ	אָנטאָלאָץ	אָנטאָלאָץ				
אנטאליעפט	אנטאליעפט	אנטאליעפט				
אַנטאַליעפּט	אַנטאַליעפּט	אַנטאַליעפּט				
אנטאלעפט	אנטאלעפט	אנטאלעפט				
אַנטאַלעפט	אַנטאַלעפט	אַנטאַלעפט				
אַנטאַלעפּט 	אַנטאַלעפּט 	אַנטאַלעפּט				
אנטאנאווע	אנטאנאווע	אנטאנאווע				
אנטאנאווקע	אנטאנאווקע	אנטאנאווקע				
אַנטאָנאָװיץ 	אַנטאָנאָװיץ 	אַנטאָנאָװיץ				
אַנטאָנאָװקע	אַנטאָנאָװקע	אַנטאָנאָװקע				
אַנטאָנאָװקע 	אַנטאָנאָװקע 	אַנטאָנאָװקע				
אנטאנאפאל	אנטאנאפאל	אנטאנאפאל				
אַנטאָנאָפּאָל	אַנטאָנאָפּאָל	אַנטאָנאָפּאָל				
אנטאניאווקי	אנטאניאווקי	אנטאניאווקי				
אנטא ניווקע	אנטא ניווקע	אנטא	ניווקע			
אנטאנין	אנטאנין	אנטאנין				
אנטאניע	אנטאניע	אנטאניע				
אנטאריא	אנטאריא	אנטאריא				
אנטאש	אנטאש	אנטאש				
אַנטאַש	אַנטאַש	אַנטאַש				
אנטבקה	אנטבקה	אנטבקה				
אנטווערבין	אנטווערבין	אנטווערבין				
אנטווערפין	אנטווערפין	אנטווערפין				
אנטווערפן	אנטווערפן	אנטווערפן				
אנטווערפען	אנטווערפען	אנטווערפען				
אנטוורפן	אנטוורפן	אנטוורפן				
אנטונובקה	אנטונובקה	אנטונובקה				
אנטופול	אנטופול	אנטופול				
אַנטװערפּן	אַנטװערפּן	אַנטװערפּן				
אנטינאווקע	אנטינאווקע	אנטינאווקע				
אנטיניא	אנטיניא	אנטיניא				
אנטיניע	אנטיניע	אנטיניע				
אַנטיניע	אַנטיניע	אַנטיניע				
אנטיניעס	אנטיניעס	אנטיניעס				
אַנטיניעס	אַנטיניעס	אַנטיניעס				
אנטינס	אנטינס	אנטינס				
אנטיפאלא	אנטיפאלא	אנטיפאלא				
אנטיפאלי	אנטיפאלי	אנטיפאלי				
אנטיפאליא	אנטיפאליא	אנטיפאליא				
אנטיפאליה	אנטיפאליה	אנטיפאליה				
אנטיפאליע	אנטיפאליע	אנטיפאליע				
אנטיפאלע	אנטיפאלע	אנטיפאלע				
אַנטיפליק	אַנטיפליק	אַנטיפליק				
אנטיקאליע	אנטיקאליע	אנטיקאליע				
אַנטעניִ	אַנטעניִ	אַנטעניִ				
אנטעניווקע	אנטעניווקע	אנטעניווקע				
אַנטעניװקע 	אַנטעניװקע 	אַנטעניװקע				
אַנטעניִע	אַנטעניִע	אַנטעניִע				
אנטעפאליע	אנטעפאליע	אנטעפאליע				
אַנטעפּאָליע	אַנטעפּאָליע	אַנטעפּאָליע				
אַנטעפּאָליע 	אַנטעפּאָליע 	אַנטעפּאָליע				
אנטשיקראק	אנטשיקראק	אנטשיקראק				
אַנטשיקראַק 	אַנטשיקראַק 	אַנטשיקראַק				
אני	אני	אני				YES
אניווערס	אניווערס	אניווערס				
אָניסקעװע 	אָניסקעװע 	אָניסקעװע				
אני פלך קוטייאם	אני פלך קוטייאם	אני	פלך	קוטייאם		
אני פלך קוטייאס	אני פלך קוטייאס	אני	פלך	קוטייאס		
אניק	אניק	אניק				
אניקסט	אניקסט	אניקסט				
אניקשט	אניקשט	אניקשט				
אַניקשט	אַניקשט	אַניקשט				
אַניקשט	אַניקשט	אַניקשט				
אַניקשט 	אַניקשט 	אַניקשט				
אנישאק	אנישאק	אנישאק				
אַנישאָק	אַנישאָק	אַנישאָק				
אַנישאָק 	אַנישאָק 	אַנישאָק				
אננופול	אננופול	אננופול				
אנסבאך	אנסבאך	אנסבאך				
אָנסלער	אָנסלער	אָנסלער				
אנעפאליע	אנעפאליע	אנעפאליע				
אַנעפּאָליע 	אַנעפּאָליע 	אַנעפּאָליע				
אנעשט	אנעשט	אנעשט				
אָנעשט	אָנעשט	אָנעשט				
אנקאנא	אנקאנא	אנקאנא				
אַנקאָנאַ	אַנקאָנאַ	אַנקאָנאַ				
אנקונא	אנקונא	אנקונא				
אנקונה	אנקונה	אנקונה				
אנקשיאה	אנקשיאה	אנקשיאה				
אנרעװא	אנרעװא	אנרעװא				
אָנשאַרעװ 	אָנשאַרעװ 	אָנשאַרעװ				
אנשבאך	אנשבאך	אנשבאך				
אַנשבאַך	אַנשבאַך	אַנשבאַך				
אסאד	אסאד	אסאד				
אָסאָד	אָסאָד	אָסאָד				
אסאווע	אסאווע	אסאווע				
אָסאָװע	אָסאָװע	אָסאָװע				
אסאי	אסאי	אסאי				
אָסאָי	אָסאָי	אָסאָי				
אסאלוי	אסאלוי	אסאלוי				
אָסאָלױ	אָסאָלױ	אָסאָלױ				
אסאן	אסאן	אסאן				
אסאנפא	אסאנפא	אסאנפא				
אָסאָנפאָ	אָסאָנפאָ	אָסאָנפאָ				
אסאנפאל	אסאנפאל	אסאנפאל				
אסאנפיא	אסאנפיא	אסאנפיא				
אסאר	אסאר	אסאר				
אַסאַר	אַסאַר	אַסאַר				
אסאריץ	אסאריץ	אסאריץ				
אסגאטשין	אסגאטשין	אסגאטשין				
אסוווייע	אסוווייע	אסוווייע				
אסוייא	אסוייא	אסוייא				
אסונה	אסונה	אסונה				
אָסװיִיִע	אָסװיִיִע	אָסװיִיִע				
אָסװײ 	אָסװײ 	אָסװײ				
אָסט	אָסט	אָסט				
אָסטאָװע־שעדלעצקי	אָסטאָװע־שעדלעצקי	אָסטאָװע־שעדלעצקי				
אָסטאָװעק	אָסטאָװעק	אָסטאָװעק				
אסטאמליע	אסטאמליע	אסטאמליע				
אַסטאָמליע 	אַסטאָמליע 	אַסטאָמליע				
אָסטאַנקאָװיטש 	אָסטאַנקאָװיטש 	אָסטאַנקאָװיטש				
אסטאריא	אסטאריא	אסטאריא				
אָסטאַשיװקע 	אָסטאַשיװקע 	אָסטאַשיװקע				
אסטדאווע	אסטדאווע	אסטדאווע				
אסטהאפן	אסטהאפן	אסטהאפן				
אָסטהאָפן	אָסטהאָפן	אָסטהאָפן				
אסטהיים	אסטהיים	אסטהיים				
אָסטהיים	אָסטהיים	אָסטהיים				
אסטי	אסטי	אסטי				
אַסטי	אַסטי	אַסטי				
אסטי'	אסטי'	אסטי'				
אסטילע	אסטילע	אסטילע				
אָסטילע	אָסטילע	אָסטילע				
אָסטינע	אָסטינע	אָסטינע				
אסטער	אסטער	אסטער				
אָסטער 	אָסטער 	אָסטער				
אסטערלענקא	אסטערלענקא	אסטערלענקא				
אסטערלענקי	אסטערלענקי	אסטערלענקי				
אסטערשאװע	אסטערשאװע	אסטערשאװע				
אסטראב	אסטראב	אסטראב				
אסטראדע	אסטראדע	אסטראדע				
אָסטראָדע	אָסטראָדע	אָסטראָדע				
אסטראה	אסטראה	אסטראה				
אסטראווא	אסטראווא	אסטראווא				
אסטראווי	אסטראווי	אסטראווי				
אסטראוויעץ	אסטראוויעץ	אסטראוויעץ				
אסטראוויק	אסטראוויק	אסטראוויק				
אסטראוומאזאוויעצק	אסטראוומאזאוויעצק	אסטראוומאזאוויעצק				
אסטראוו מאזאוויעצק	אסטראוו מאזאוויעצק	אסטראוו	מאזאוויעצק			
אסטראוו-מאזאוויעצק	אסטראוו-מאזאוויעצק	אסטראוו-מאזאוויעצק				
אסטראוונע	אסטראוונע	אסטראוונע				
אסטראווע	אסטראווע	אסטראווע				
אסטראוועק	אסטראוועק	אסטראוועק				
אסטראווע שעדלעצקי	אסטראווע שעדלעצקי	אסטראווע	שעדלעצקי			
אסטראווצא	אסטראווצא	אסטראווצא				
אסטראווצי	אסטראווצי	אסטראווצי				
אסטראווצע	אסטראווצע	אסטראווצע				
אָסטראָװ 	אָסטראָװ 	אָסטראָװ				
אָסטראָװ־מאַזאָװיעצק	אָסטראָװ־מאַזאָװיעצק	אָסטראָװ־מאַזאָװיעצק				
אָסטראָװיץ 	אָסטראָװיץ 	אָסטראָװיץ				
אָסטראָװיק	אָסטראָװיק	אָסטראָװיק				
אָסטראָװנע 	אָסטראָװנע 	אָסטראָװנע				
אָסטראָװע	אָסטראָװע	אָסטראָװע				
אָסטראָװע 	אָסטראָװע 	אָסטראָװע				
אָסטראָװצע	אָסטראָװצע	אָסטראָװצע				
אָסטראָװצע 	אָסטראָװצע 	אָסטראָװצע				
אסטראזשעץ	אסטראזשעץ	אסטראזשעץ				
אַסטראָזשעץ 	אַסטראָזשעץ 	אַסטראָזשעץ				
אסטראכאן	אסטראכאן	אסטראכאן				
אַסטראַכאַן	אַסטראַכאַן	אַסטראַכאַן				
אסטראליינקא	אסטראליינקא	אסטראליינקא				
אסטראלענקא	אסטראלענקא	אסטראלענקא				
אסטראלענקי	אסטראלענקי	אסטראלענקי				
אסטראלענקע	אסטראלענקע	אסטראלענקע				
אָסטראָלענקע	אָסטראָלענקע	אָסטראָלענקע				
אָסטראָלענקע 	אָסטראָלענקע 	אָסטראָלענקע				
אסטראמענטשין	אסטראמענטשין	אסטראמענטשין				
אָסטראָמענטשין	אָסטראָמענטשין	אָסטראָמענטשין				
אסטראמעצין	אסטראמעצין	אסטראמעצין				
אסטראני	אסטראני	אסטראני				
אסטראפאל	אסטראפאל	אסטראפאל				
אָסטראָפּאָל	אָסטראָפּאָל	אָסטראָפּאָל				
אסטראפאליע	אסטראפאליע	אסטראפאליע				
אָסטראָפּאָליע	אָסטראָפּאָליע	אָסטראָפּאָליע				
אסטרוב	אסטרוב	אסטרוב				
אסטרובמאזאוו	אסטרובמאזאוו	אסטרובמאזאוו				
אסטרווו־לובעלסקי	אסטרווו־לובעלסקי	אסטרווו־לובעלסקי				
אסטרווולובעלסקי	אסטרווולובעלסקי	אסטרווולובעלסקי				
אסטרווע	אסטרווע	אסטרווע				
אסטרווצי	אסטרווצי	אסטרווצי				
אסטרויע	אסטרויע	אסטרויע				
אסטרושניצא	אסטרושניצא	אסטרושניצא				
אסטריווע	אסטריווע	אסטריווע				
אסטריוועק	אסטריוועק	אסטריוועק				
אסטרילינקי	אסטרילינקי	אסטרילינקי				
אסטרילינקע	אסטרילינקע	אסטרילינקע				
אסטרין	אסטרין	אסטרין				
אַסטרין	אַסטרין	אַסטרין				
אַסטרין 	אַסטרין 	אַסטרין				
אסטריק	אסטריק	אסטריק				
אסטרליינקא	אסטרליינקא	אסטרליינקא				
אסטרליינקי	אסטרליינקי	אסטרליינקי				
אסטרע	אסטרע	אסטרע				
אָסטרע	אָסטרע	אָסטרע				
אָסטרע 	אָסטרע 	אָסטרע				
אסטרעווע	אסטרעווע	אסטרעווע				
אָסטרעװ 	אָסטרעװ 	אָסטרעװ				
אָסטרעװע	אָסטרעװע	אָסטרעװע				
אָסטרעװצע	אָסטרעװצע	אָסטרעװצע				
אסטרעחאן	אסטרעחאן	אסטרעחאן				
אסטרעלינקע	אסטרעלינקע	אסטרעלינקע				
אסטרעלענקא	אסטרעלענקא	אסטרעלענקא				
אָסטרעלענקע	אָסטרעלענקע	אָסטרעלענקע				
אסיװנע	אסיװנע	אסיװנע				
אַסיטניאַטשקע 	אַסיטניאַטשקע 	אַסיטניאַטשקע				
אסיע	אסיע	אסיע				
אסיפאוויטש	אסיפאוויטש	אסיפאוויטש				
אסיפאוויץ	אסיפאוויץ	אסיפאוויץ				
אַסיפּאָװיטש 	אַסיפּאָװיטש 	אַסיפּאָװיטש				
אָסיפּאָװיטש	אָסיפּאָװיטש	אָסיפּאָװיטש				
אָסיקאַװאַטע 	אָסיקאַװאַטע 	אָסיקאַװאַטע				
אסכנדרונא	אסכנדרונא	אסכנדרונא				
אסלא	אסלא	אסלא				
אָסלאָ	אָסלאָ	אָסלאָ				
אסלאני	אסלאני	אסלאני				
אסלאר	אסלאר	אסלאר				
אָסלאַר	אָסלאַר	אָסלאַר				
אסלוי	אסלוי	אסלוי				
אָסמאָלין 	אָסמאָלין 	אָסמאָלין				
אָסמאַליץ 	אָסמאַליץ 	אָסמאַליץ				
אסמאנא	אסמאנא	אסמאנא				
אָסמולסק 	אָסמולסק 	אָסמולסק				
אסמינא	אסמינא	אסמינא				
אסמינע	אסמינע	אסמינע				
אסמענא	אסמענא	אסמענא				
אסמענע	אסמענע	אסמענע				
אסמראווא	אסמראווא	אסמראווא				
אסע	אסע	אסע				
אָסע 	אָסע 	אָסע				
אַסעד 	אַסעד 	אַסעד				
אָסעװ 	אָסעװ 	אָסעװ				
אסען	אסען	אסען				
אַסען	אַסען	אַסען				
אסענפא	אסענפא	אסענפא				
אספאלאטרו	אספאלאטרו	אספאלאטרו				
אספאניס	אספאניס	אספאניס				
אספי	אספי	אספי				
אָסראָ	אָסראָ	אָסראָ				
"אפ""ש"	"אפ""ש"	"אפ""ש"				
אפא	אפא	אפא				
אַפּאַ	אַפּאַ	אַפּאַ				
אפאד	אפאד	אפאד				
אפאדי	אפאדי	אפאדי				
אָפּאָדי	אָפּאָדי	אָפּאָדי				
אפאהידא	אפאהידא	אפאהידא				
אָפּאָהידאָ	אָפּאָהידאָ	אָפּאָהידאָ				
אפא הידיא	אפא הידיא	אפא	הידיא			
אָפּאַטי	אָפּאַטי	אָפּאַטי				
אפאטע	אפאטע	אפאטע				
אָפּאַטפאָלו	אָפּאַטפאָלו	אָפּאַטפאָלו				
אפאטשנא	אפאטשנא	אפאטשנא				
אפאטשנע	אפאטשנע	אפאטשנע				
אָפּאָטשנע	אָפּאָטשנע	אָפּאָטשנע				
אָפּאָטשנע 	אָפּאָטשנע 	אָפּאָטשנע				
אפאיד	אפאיד	אפאיד				
אפאכאווא	אפאכאווא	אפאכאווא				
אפאכאווע	אפאכאווע	אפאכאווע				
אפאכאָװע	אפאכאָװע	אפאכאָװע				
אפאלא	אפאלא	אפאלא				
אַפּאַלין 	אַפּאַלין 	אַפּאַלין				
א פאליע	א פאליע	א	פאליע			
אפאלע	אפאלע	אפאלע				
אָפּאַלע	אָפּאַלע	אָפּאַלע				
אָפּאָלע	אָפּאָלע	אָפּאָלע				
אפאלפאלווא	אפאלפאלווא	אפאלפאלווא				
אָפּאָנאָדיפאָלװאָ	אָפּאָנאָדיפאָלװאָ	אָפּאָנאָדיפאָלװאָ				
אפאריץ	אפאריץ	אפאריץ				
אפאשטאג	אפאשטאג	אפאשטאג				
אָפּאָשטאָג	אָפּאָשטאָג	אָפּאָשטאָג				
אפאשטאק	אפאשטאק	אפאשטאק				
אפהיים	אפהיים	אפהיים				
אַפּהיים	אַפּהיים	אַפּהיים				
אפט	אפט	אפט				
אַפּט	אַפּט	אַפּט				
אַפּט 	אַפּט 	אַפּט				
אפטא	אפטא	אפטא				
אַפּטיװקע 	אַפּטיװקע 	אַפּטיװקע				
