sent.no	1	s	_	_2	_3	_4	_5	_6	_7	_8	ratio
7499	7621	אין	_	ADP	_	_	_	_	_	_	0.68
7499	7622	בּיוצאָוו	_	_	_	_	_	_	_	_	0.68
7499	7623	,	_	PUNCT	_	_	_	_	_	_	0.68
7499	7624	האָט	_	X	_		_	_	_	_	0.68
7499	7625	ער	_	PRON	_	_	_	_	_	_	0.68
7499	7626	געהאַט	_	VERB	_	_	_	_	_	_	0.68
7499	7627	אַ	_	DET	_	_	_	_	_	_	0.68
7499	7628	נאָמען	_	NOUN	_	_	_	_	_	_	0.68
7499	7629	בּאַ	_	_	_	_	_	_	_	_	0.68
7499	7630	שטאָט	_	X	_	_	_	_	_	_	0.68
7499	7631	,	_	PUNCT	_	_	_	_	_	_	0.68
7499	7632	אַז	_	SCONJ	_		_	_	_	_	0.68
7499	7633	בּירגער	_	_	_	_	_	_	_	_	0.68
7499	7634	האָבּן	_	X	_	_	_	_	_	_	0.68
7499	7635	אים	_	PRON	_	_	_	_	_	_	0.68
7499	7636	גערן	_	_	_	_	_	_	_	_	0.68
7499	7637	גערופן	_	_	_	_	_	_	_	_	0.68
7499	7638	,	_	PUNCT	_	_	_	_	_	_	0.68
7499	7639	אַפילו	_	_	_	_	_	_	_	_	0.68
7499	7640	די	_	DET	_	_	_	_	_	_	0.68
7499	7641	פּויערים	_	_	_	_	_	_	_	_	0.68
7499	7642	פּונם	_	_	_	_	_	_	_	_	0.68
7499	7643	לאַנד	_	NOUN	_	_	_	_	_	_	0.68
7499	7644	פלעגן	_	_	_	_	_	_	_	_	0.68
7499	7645	קומען	_	VERB	_	_	_	_	_	_	0.68
7499	7646	צו	_	ADP	_	_	_	_	_	_	0.68
7499	7647	אים	_	PRON	_	_	_	_	_	_	0.68
7499	7648	און	_	CCONJ	_	_	_	_	_	_	0.68
7499	7649	נוצן	_	_	_	_	_	_	_	_	0.68
7499	7650	זיינע	_	_	_	_	_	_	_	_	0.68
7499	7651	רעצעפּטן	_	NOUN	_	_	_	_	_	_	0.68
7499	7652	.	_	PUNCT	_	_	_	_	_	_	0.68
7538											0.7
7538	7654	ס'איז	_	_	_	_	_	_	_	_	0.7
7538	7655	אים	_	PRON	_	_	_	_	_	_	0.7
7538	7656	זעהר	_	_	_	_	_	_	_	_	0.7
7538	7657	גוט	_	X	_	_	_	_	_	_	0.7
7538	7658	געגאַנגען	_	VERB	_	_	_	_	_	_	0.7
7538	7659	מיטן	_	X	_	_	_	_	_	_	0.7
7538	7660	קורירן	_	_	_	_	_	_	_	_	0.7
7538	7661	,	_	PUNCT	_	_	_	_	_	_	0.7
7538	7662	האָט	_	X	_		_	_	_	_	0.7
7538	7663	מער	_	X	_	_	_	_	_	_	0.7
7538	7664	ניט	_	PART	_	_	_	_	_	_	0.7
7538	7665	בּאַדאַרפט	_	_	_	_	_	_	_	_	0.7
7538	7666	אָנקומען	_	NOUN	_	_	_	_	_	_	0.7
7538	7667	צו	_	ADP	_	_	_	_	_	_	0.7
7538	7668	קיין	_	X	_	_	_	_	_	_	0.7
7538	7669	קליינגעלט	_	_	_	_	_	_	_	_	0.7
7538	7670	,	_	PUNCT	_	_	_	_	_	_	0.7
7538	7671	האָט	_	X	_		_	_	_	_	0.7
7538	7672	זיך	_	PRON	_	_	_	_	_	_	0.7
7538	7673	איינגעאָרדנעט	_	_	_	_	_	_	_	_	0.7
7538	7674	און	_	CCONJ	_	_	_	_	_	_	0.7
7538	7675	האָט	_	X	_		_	_	_	_	0.7
7538	7676	זיך	_	PRON	_	_	_	_	_	_	0.7
7538	7677	געקאָנט	_	AUX	_	_	_	_	_	_	0.7
7538	7678	פירן	_	_	_	_	_	_	_	_	0.7
7538	7679	פיין	_	_	_	_	_	_	_	_	0.7
7538	7680	.	_	PUNCT	_	_	_	_	_	_	0.7
7566											0.71
7566	7682	אַלע	_	X	_	_	_	_	_	_	0.71
7566	7683	סטודענטן	_	NOUN	_	_	_	_	_	_	0.71
7566	7684	האָבּן	_	X	_	_	_	_	_	_	0.71
7566	7685	אים	_	PRON	_	_	_	_	_	_	0.71
7566	7686	זעהר	_	_	_	_	_	_	_	_	0.71
7566	7687	געאַכט	_	_	_	_	_	_	_	_	0.71
7566	7688	.	_	PUNCT	_	_	_	_	_	_	0.71
7574											0.62
7574	7690	איך	_	PRON	_	_	_	_	_	_	0.62
7574	7691	האָבּ	_	X	_	_	_	_	_	_	0.62
7574	7692	אים	_	PRON	_	_	_	_	_	_	0.62
7574	7693	פאַרשאַפט	_	_	_	_	_	_	_	_	0.62
7574	7694	אַ	_	DET	_	_	_	_	_	_	0.62
7574	7695	רייכע	_	_	_	_	_	_	_	_	0.62
7574	7696	כלה	_	_	_	_	_	_	_	_	0.62
7574	7697	.	_	PUNCT	_	_	_	_	_	_	0.62
7583											0.83
7583	7699	ס'איז	_	_	_	_	_	_	_	_	0.83
7583	7700	לסוף	_	ADV	_	_	_	_	_	_	0.83
7583	7701	געקומען	_	VERB	_	_	_	_	_	_	0.83
7583	7702	צו	_	ADP	_	_	_	_	_	_	0.83
7583	7703	דער	_	DET	_	_	_	_	_	_	0.83
7583	7704	חתונה	_	NOUN	_	_	_	_	_	_	0.83
7583	7705	,	_	PUNCT	_	_	_	_	_	_	0.83
7583	7706	האָבּ	_	X	_	_	_	_	_	_	0.83
7583	7707	איך	_	PRON	_	_	_	_	_	_	0.83
7583	7708	אים	_	PRON	_	_	_	_	_	_	0.83
7583	7709	געליען	_	_	_	_	_	_	_	_	0.83
7583	7710	צוויי	_	NUM	_	_	_	_	_	_	0.83
7583	7711	הונדערט	_	NUM	_	_	_	_	_	_	0.83
7583	7712	רייכסטאָלער	_	_	_	_	_	_	_	_	0.83
7583	7713	,	_	PUNCT	_	_	_	_	_	_	0.83
7583	7714	ער	_	PRON	_	_	_	_	_	_	0.83
7583	7715	זאָל	_	AUX	_	_	_	_	_	_	0.83
7583	7716	מיר	_	PRON	_	_	_	_	_	_	0.83
7583	7717	נאָך	_	X	_	_	_	_	_	_	0.83
7583	7718	דער	_	DET	_	_	_	_	_	_	0.83
7583	7719	חתונה	_	NOUN	_	_	_	_	_	_	0.83
7583	7720	אָפּגעבּן	_	_	_	_	_	_	_	_	0.83
7583	7721	.	_	PUNCT	_	_	_	_	_	_	0.83
7607											0.64
7607	7723	ער	_	PRON	_	_	_	_	_	_	0.64
7607	7724	האָט	_	X	_		_	_	_	_	0.64
7607	7725	געקריגן	_	_	_	_	_	_	_	_	0.64
7607	7726	נדן	_	NOUN	_	_	_	_	_	_	0.64
7607	7727	צוויי	_	NUM	_	_	_	_	_	_	0.64
7607	7728	טויזנט	_	_	_	_	_	_	_	_	0.64
7607	7729	רייכסטאָלער	_	_	_	_	_	_	_	_	0.64
7607	7730	,	_	PUNCT	_	_	_	_	_	_	0.64
7607	7731	ער	_	PRON	_	_	_	_	_	_	0.64
7607	7732	האָט	_	X	_		_	_	_	_	0.64
7607	7733	געוואוינט	_	_	_	_	_	_	_	_	0.64
7607	7734	אין	_	ADP	_	_	_	_	_	_	0.64
7607	7735	סטרעליץ	_	_	_	_	_	_	_	_	0.64
7607	7736	.	_	PUNCT	_	_	_	_	_	_	0.64
7622											0.62
7622	7738	ער	_	PRON	_	_	_	_	_	_	0.62
7622	7739	האָט	_	X	_		_	_	_	_	0.62
7622	7740	אָבּער	_	_	_	_	_	_	_	_	0.62
7622	7741	אָנגעהויבּן	_	_	_	_	_	_	_	_	0.62
7622	7742	גרויס	_	_	_	_	_	_	_	_	0.62
7622	7743	צו	_	ADP	_	_	_	_	_	_	0.62
7622	7744	לעבן	_	X	_	_	_	_	_	_	0.62
7622	7745	.	_	PUNCT	_	_	_	_	_	_	0.62
7631											0.7
7631	7747	איך	_	PRON	_	_	_	_	_	_	0.7
7631	7748	האָבּ	_	X	_	_	_	_	_	_	0.7
7631	7749	אים	_	PRON	_	_	_	_	_	_	0.7
7631	7750	געשריבּן	_	_	_	_	_	_	_	_	0.7
7631	7751	וועגן	_	X	_	_	_	_	_	_	0.7
7631	7752	מיין	_	X	_	_	_	_	_	_	0.7
7631	7753	געלט	_	NOUN	_	_	_	_	_	_	0.7
7631	7754	,	_	PUNCT	_	_	_	_	_	_	0.7
7631	7755	וואָס	_	X	_	_	_	_	_	_	0.7
7631	7756	איך	_	PRON	_	_	_	_	_	_	0.7
7631	7757	האָבּ	_	X	_	_	_	_	_	_	0.7
7631	7758	אים	_	PRON	_	_	_	_	_	_	0.7
7631	7759	געליען	_	_	_	_	_	_	_	_	0.7
7631	7760	אָהן	_	_	_	_	_	_	_	_	0.7
7631	7761	פּראָצענט	_	NOUN	_	_	_	_	_	_	0.7
7631	7762	;	_	PUNCT	_	_	_	_	_	_	0.7
7631	7763	ער	_	PRON	_	_	_	_	_	_	0.7
7631	7764	האָט	_	X	_		_	_	_	_	0.7
7631	7765	מיר	_	PRON	_	_	_	_	_	_	0.7
7631	7766	געענטפערט	_	_	_	_	_	_	_	_	0.7
7631	7767	מיט	_	ADP	_	_	_	_	_	_	0.7
7631	7768	פאַר-	_	_	_	_	_	_	_	_	0.7
7631	7769	שיידענע	_	_	_	_	_	_	_	_	0.7
7631	7770	אויסריידן	_	_	_	_	_	_	_	_	0.7
7631	7771	,	_	PUNCT	_	_	_	_	_	_	0.7
7631	7772	אָפּגעלעגט	_	_	_	_	_	_	_	_	0.7
7631	7773	אויף	_	ADP	_	_	_	_	_	_	0.7
7631	7774	פיר	_	_	_	_	_	_	_	_	0.7
7631	7775	,	_	PUNCT	_	_	_	_	_	_	0.7
7631	7776	אויף	_	ADP	_	_	_	_	_	_	0.7
7631	7777	זעקס	_	NUM	_	_	_	_	_	_	0.7
7631	7778	וואָכן	_	_	_	_	_	_	_	_	0.7
7631	7779	.	_	PUNCT	_	_	_	_	_	_	0.7
7665											0.77
7665	7781	אַ	_	DET	_	_	_	_	_	_	0.77
7665	7782	סך	_	ADV	_	_	_	_	_	_	0.77
7665	7783	מענשן	_	_	_	_	_	_	_	_	0.77
7665	7784	האָבּ	_	X	_	_	_	_	_	_	0.77
7665	7785	איך	_	PRON	_	_	_	_	_	_	0.77
7665	7786	אויף	_	ADP	_	_	_	_	_	_	0.77
7665	7787	מיין	_	X	_	_	_	_	_	_	0.77
7665	7788	לעבּן	_	_	_	_	_	_	_	_	0.77
7665	7789	גוטס	_	ADJ	_	_	_	_	_	_	0.77
7665	7790	געטאָן	_	VERB	_	_	_	_	_	_	0.77
7665	7791	,	_	PUNCT	_	_	_	_	_	_	0.77
7665	7792	אָבּער	_	_	_	_	_	_	_	_	0.77
7665	7793	שלעכטס	_	ADJ	_	_	_	_	_	_	0.77
7665	7794	האָבּ	_	X	_	_	_	_	_	_	0.77
7665	7795	איך	_	PRON	_	_	_	_	_	_	0.77
7665	7796	מיט	_	ADP	_	_	_	_	_	_	0.77
7665	7797	וויסן	_	_	_	_	_	_	_	_	0.77
7665	7798	און	_	CCONJ	_	_	_	_	_	_	0.77
7665	7799	מיט	_	ADP	_	_	_	_	_	_	0.77
7665	7800	ווילן	_	_	_	_	_	_	_	_	0.77
7665	7801	קיינמאָל	_	_	_	_	_	_	_	_	0.77
7665	7802	ניט	_	PART	_	_	_	_	_	_	0.77
7665	7803	געטאָן	_	VERB	_	_	_	_	_	_	0.77
7665	7804	,	_	PUNCT	_	_	_	_	_	_	0.77
7665	7805	איך	_	PRON	_	_	_	_	_	_	0.77
7665	7806	מוז	_	X	_	_	_	_	_	_	0.77
7665	7807	מיר	_	PRON	_	_	_	_	_	_	0.77
7665	7808	דערמיט	_	ADV	_	_	_	_	_	_	0.77
7665	7809	אַליין	_	ADV	_	_	_	_	_	_	0.77
7665	7810	בּאַרימען	_	_	_	_	_	_	_	_	0.77
7665	7811	.	_	PUNCT	_	_	_	_	_	_	0.77
7697											0.64
7697	7813	לסוף	_	ADV	_	_	_	_	_	_	0.64
7697	7814	איז	_	X	_		_	_	_	_	0.64
7697	7815	ער	_	PRON	_	_	_	_	_	_	0.64
7697	7816	אַנטרונען	_	_	_	_	_	_	_	_	0.64
7697	7817	געוואָרן	_	AUX	_	_	_	_	_	_	0.64
7697	7818	פון	_	ADP	_	_	_	_	_	_	0.64
7697	7819	סטרעליץ	_	_	_	_	_	_	_	_	0.64
7697	7820	אַזויווי	_	_	_	_	_	_	_	_	0.64
7697	7821	אַ	_	DET	_	_	_	_	_	_	0.64
7697	7822	שווינדלער	_	_	_	_	_	_	_	_	0.64
7697	7823	.	_	PUNCT	_	_	_	_	_	_	0.64
7709											0.53
7709	7825	ער	_	PRON	_	_	_	_	_	_	0.53
7709	7826	האָט	_	X	_		_	_	_	_	0.53
7709	7827	נאַכגעמאַכט	_	_	_	_	_	_	_	_	0.53
7709	7828	אַ	_	DET	_	_	_	_	_	_	0.53
7709	7829	בּריף	_	_	_	_	_	_	_	_	0.53
7709	7830	,	_	PUNCT	_	_	_	_	_	_	0.53
7709	7831	פּונקט	_	_	_	_	_	_	_	_	0.53
7709	7832	ווי	_	X	_	_	_	_	_	_	0.53
7709	7833	ער	_	PRON	_	_	_	_	_	_	0.53
7709	7834	וואָלט	_	X	_	_	_	_	_	_	0.53
7709	7835	אים	_	PRON	_	_	_	_	_	_	0.53
7709	7836	קריגן	_	_	_	_	_	_	_	_	0.53
7709	7837	פונם	_	_	_	_	_	_	_	_	0.53
7709	7838	שטעטינער	_	_	_	_	_	_	_	_	0.53
7709	7839	קאָ-	_	_	_	_	_	_	_	_	0.53
7709	7840	מענדאַנט	_	_	_	_	_	_	_	_	0.53
7709	7841	.	_	PUNCT	_	_	_	_	_	_	0.53
7727											0.89
7727	7843	אַזויווי	_	_	_	_	_	_	_	_	0.89
7727	7844	ער	_	PRON	_	_	_	_	_	_	0.89
7727	7845	האָט	_	X	_		_	_	_	_	0.89
7727	7846	געהערט	_	VERB	_	_	_	_	_	_	0.89
7727	7847	,	_	PUNCT	_	_	_	_	_	_	0.89
7727	7848	אַז	_	SCONJ	_		_	_	_	_	0.89
7727	7849	דער	_	DET	_	_	_	_	_	_	0.89
7727	7850	הער	_	NOUN	_	_	_	_	_	_	0.89
7727	7851	דאָקטאָר	_	NOUN	_	_	_	_	_	_	0.89
7727	7852	מאַרקוס	_	PROPN	_	_	_	_	_	_	0.89
7727	7853	איז	_	X	_		_	_	_	_	0.89
7727	7854	אַ	_	DET	_	_	_	_	_	_	0.89
7727	7855	געניטער	_	ADJ	_	_	_	_	_	_	0.89
7727	7856	דאָקטאָר	_	NOUN	_	_	_	_	_	_	0.89
7727	7857	,	_	PUNCT	_	_	_	_	_	_	0.89
7727	7858	בכן	_	ADV	_	_	_	_	_	_	0.89
7727	7859	זאָל	_	AUX	_	_	_	_	_	_	0.89
7727	7860	ער	_	PRON	_	_	_	_	_	_	0.89
7727	7861	קומען	_	VERB	_	_	_	_	_	_	0.89
7727	7862	צו	_	ADP	_	_	_	_	_	_	0.89
7727	7863	אים	_	PRON	_	_	_	_	_	_	0.89
7727	7864	,	_	PUNCT	_	_	_	_	_	_	0.89
7727	7865	ער	_	PRON	_	_	_	_	_	_	0.89
7727	7866	וועט	_	X	_	_	_	_	_	_	0.89
7727	7867	אים	_	PRON	_	_	_	_	_	_	0.89
7727	7868	זיינע	_	_	_	_	_	_	_	_	0.89
7727	7869	הוצאות	_	_	_	_	_	_	_	_	0.89
7755											0.4
7755	7871	און	_	CCONJ	_	_	_	_	_	_	0.4
7755	7872	רייזע	_	_	_	_	_	_	_	_	0.4
7755	7873	נוט	_	_	_	_	_	_	_	_	0.4
7755	7874	בּאַצאָלן	_	_	_	_	_	_	_	_	0.4
7755	7875	.	_	PUNCT	_	_	_	_	_	_	0.4
7761											0.66
7761	7877	דער	_	DET	_	_	_	_	_	_	0.66
7761	7878	שווער	_	_	_	_	_	_	_	_	0.66
7761	7879	האָט	_	X	_		_	_	_	_	0.66
7761	7880	אים	_	PRON	_	_	_	_	_	_	0.66
7761	7881	געגעבּען	_	_	_	_	_	_	_	_	0.66
7761	7882	צו	_	ADP	_	_	_	_	_	_	0.66
7761	7883	דער	_	DET	_	_	_	_	_	_	0.66
7761	7884	נסיעה	_	_	_	_	_	_	_	_	0.66
7761	7885	אַ	_	DET	_	_	_	_	_	_	0.66
7761	7886	קאָטש	_	NOUN	_	_	_	_	_	_	0.66
7761	7887	מיט	_	ADP	_	_	_	_	_	_	0.66
7761	7888	צוויי	_	NUM	_	_	_	_	_	_	0.66
7761	7889	פערד	_	_	_	_	_	_	_	_	0.66
7761	7890	אַזוי	_	ADV	_	_	_	_	_	_	0.66
7761	7891	,	_	PUNCT	_	_	_	_	_	_	0.66
7761	7892	אַז	_	SCONJ	_		_	_	_	_	0.66
7761	7893	העכסטנס	_	ADV	_	_	_	_	_	_	0.66
7761	7894	אין	_	ADP	_	_	_	_	_	_	0.66
7761	7895	פערצען	_	_	_	_	_	_	_	_	0.66
7761	7896	טאג	_	_	_	_	_	_	_	_	0.66
7761	7897	האָט	_	X	_		_	_	_	_	0.66
7761	7898	ער	_	PRON	_	_	_	_	_	_	0.66
7761	7899	בּאַ-	_	_	_	_	_	_	_	_	0.66
7761	7900	דאַרפט	_	_	_	_	_	_	_	_	0.66
7761	7901	זיין	_	_	_	_	_	_	_	_	0.66
7761	7902	הין	_	_	_	_	_	_	_	_	0.66
7761	7903	און	_	CCONJ	_	_	_	_	_	_	0.66
7761	7904	צוריק	_	ADV	_	_	_	_	_	_	0.66
7761	7905	.	_	PUNCT	_	_	_	_	_	_	0.66
7791											0.62
7791	7907	אַבּער	_	_	_	_	_	_	_	_	0.62
7791	7908	ער	_	PRON	_	_	_	_	_	_	0.62
7791	7909	האָט	_	X	_		_	_	_	_	0.62
7791	7910	פּאַסירט	_	_	_	_	_	_	_	_	0.62
7791	7911	זיין	_	_	_	_	_	_	_	_	0.62
7791	7912	פרוי	_	_	_	_	_	_	_	_	0.62
7791	7913	און	_	CCONJ	_	_	_	_	_	_	0.62
7791	7914	אַ	_	DET	_	_	_	_	_	_	0.62
7791	7915	קליין	_	_	_	_	_	_	_	_	0.62
7791	7916	קינד	_	NOUN	_	_	_	_	_	_	0.62
7791	7917	באַ	_	ADP	_	_	_	_	_	_	0.62
7791	7918	אירע	_	ADJ	_	_	_	_	_	_	0.62
7791	7919	עלטערן	_	NOUN	_	_	_	_	_	_	0.62
7791	7920	אין	_	ADP	_	_	_	_	_	_	0.62
7791	7921	סטרעליץ	_	_	_	_	_	_	_	_	0.62
7791	7922	און	_	CCONJ	_	_	_	_	_	_	0.62
7791	7923	איז	_	X	_		_	_	_	_	0.62
7791	7924	אַוועק	_	_	_	_	_	_	_	_	0.62
7791	7925	קיין	_	X	_	_	_	_	_	_	0.62
7791	7926	פּוילן	_	_	_	_	_	_	_	_	0.62
7791	7927	.	_	PUNCT	_	_	_	_	_	_	0.62
7813											0.72
7813	7929	אַקעגן	_	X	_	_	_	_	_	_	0.72
7813	7930	אַ	_	DET	_	_	_	_	_	_	0.72
7813	7931	האַלבּ	_	_	_	_	_	_	_	_	0.72
7813	7932	יאָר	_	NOUN	_	_	_	_	_	_	0.72
7813	7933	נאָך	_	X	_	_	_	_	_	_	0.72
7813	7934	דעם	_	DET	_	_	_	_	_	_	0.72
7813	7935	האָט	_	X	_		_	_	_	_	0.72
7813	7936	ער	_	PRON	_	_	_	_	_	_	0.72
7813	7937	געשריבּן	_	_	_	_	_	_	_	_	0.72
7813	7938	צו	_	ADP	_	_	_	_	_	_	0.72
7813	7939	שווער	_	_	_	_	_	_	_	_	0.72
7813	7940	און	_	CCONJ	_	_	_	_	_	_	0.72
7813	7941	שוויגער	_	_	_	_	_	_	_	_	0.72
7813	7942	,	_	PUNCT	_	_	_	_	_	_	0.72
7813	7943	צי	_	X	_	_	_	_	_	_	0.72
7813	7944	וועלן	_	_	_	_	_	_	_	_	0.72
7813	7945	זיי	_	PRON	_	_	_	_	_	_	0.72
7813	7946	אים	_	PRON	_	_	_	_	_	_	0.72
7813	7947	שיקן	_	VERB	_	_	_	_	_	_	0.72
7813	7948	די	_	DET	_	_	_	_	_	_	0.72
7813	7949	פרוי	_	_	_	_	_	_	_	_	0.72
7813	7950	און	_	CCONJ	_	_	_	_	_	_	0.72
7813	7951	דאָס	_	DET	_	_	_	_	_	_	0.72
7813	7952	קינד	_	NOUN	_	_	_	_	_	_	0.72
7813	7953	קיין	_	X	_	_	_	_	_	_	0.72
7813	7954	ליסאָ	_	_	_	_	_	_	_	_	0.72
7813	7955	אין	_	ADP	_	_	_	_	_	_	0.72
7813	7956	פוילן	_	_	_	_	_	_	_	_	0.72
7813	7957	.	_	PUNCT	_	_	_	_	_	_	0.72
7843											0.64
7843	7959	דאָ	_	X	_	_	_	_	_	_	0.64
7843	7960	זיינען	_	_	_	_	_	_	_	_	0.64
7843	7961	פאַראַן	_	_	_	_	_	_	_	_	0.64
7843	7962	אַ	_	DET	_	_	_	_	_	_	0.64
7843	7963	סך	_	ADV	_	_	_	_	_	_	0.64
7843	7964	רייכע	_	_	_	_	_	_	_	_	0.64
7843	7965	אידן	_	_	_	_	_	_	_	_	0.64
7843	7966	,	_	PUNCT	_	_	_	_	_	_	0.64
7843	7967	און	_	CCONJ	_	_	_	_	_	_	0.64
7843	7968	זיי	_	PRON	_	_	_	_	_	_	0.64
7843	7969	האָבּן	_	X	_	_	_	_	_	_	0.64
7843	7970	מיט	_	ADP	_	_	_	_	_	_	0.64
7843	7971	אים	_	PRON	_	_	_	_	_	_	0.64
7843	7972	געמאַכט	_	X	_	_	_	_	_	_	0.64
7843	7973	אַ	_	DET	_	_	_	_	_	_	0.64
7843	7974	קאָנטראַקט	_	NOUN	_	_	_	_	_	_	0.64
7843	7975	,	_	PUNCT	_	_	_	_	_	_	0.64
7843	7976	וועט	_	X	_	_	_	_	_	_	0.64
7843	7977	ער	_	PRON	_	_	_	_	_	_	0.64
7843	7978	קריגן	_	_	_	_	_	_	_	_	0.64
7843	7979	פונם	_	_	_	_	_	_	_	_	0.64
7843	7980	אידישן	_	_	_	_	_	_	_	_	0.64
7843	7981	בקור	_	_	_	_	_	_	_	_	0.64
7843	7982	חולים	_	NOUN	_	_	_	_	_	_	0.64
7843	7983	פינף	_	_	_	_	_	_	_	_	0.64
7843	7984	הונדערט	_	NUM	_	_	_	_	_	_	0.64
7843	7985	רייכסטאָלער	_	_	_	_	_	_	_	_	0.64
7843	7986	.	_	PUNCT	_	_	_	_	_	_	0.64
7872											1.0
7872	7988	וואָס	_	X	_	_	_	_	_	_	1.0
7872	7989	האָבּן	_	X	_	_	_	_	_	_	1.0
7872	7990	די	_	DET	_	_	_	_	_	_	1.0
7872	7991	עלטערן	_	NOUN	_	_	_	_	_	_	1.0
7872	7992	געקאָנט	_	AUX	_	_	_	_	_	_	1.0
7872	7993	טון	_	NOUN	_	_	_	_	_	_	1.0
7872	7994	?	_	PUNCT	_	_	_	_	_	_	1.0
7880											0.8
7880	7996	האָבּן	_	X	_	_	_	_	_	_	0.8
7880	7997	זיי	_	PRON	_	_	_	_	_	_	0.8
7880	7998	אים	_	PRON	_	_	_	_	_	_	0.8
7880	7999	אָפּגעשיקט	_	_	_	_	_	_	_	_	0.8
7880	8000	די	_	DET	_	_	_	_	_	_	0.8
7880	8001	פרוי	_	_	_	_	_	_	_	_	0.8
7880	8002	און	_	CCONJ	_	_	_	_	_	_	0.8
7880	8003	דאָס	_	DET	_	_	_	_	_	_	0.8
7880	8004	קינד	_	NOUN	_	_	_	_	_	_	0.8
7880	8005	.	_	PUNCT	_	_	_	_	_	_	0.8
7891											0.8
7891	8007	איך	_	PRON	_	_	_	_	_	_	0.8
7891	8008	האָבּ	_	X	_	_	_	_	_	_	0.8
7891	8009	פון	_	ADP	_	_	_	_	_	_	0.8
7891	8010	אים	_	PRON	_	_	_	_	_	_	0.8
7891	8011	קיין	_	X	_	_	_	_	_	_	0.8
7891	8012	פעניג	_	_	_	_	_	_	_	_	0.8
7891	8013	צוריק	_	ADV	_	_	_	_	_	_	0.8
7891	8014	ניט	_	PART	_	_	_	_	_	_	0.8
7891	8015	געקריגן	_	_	_	_	_	_	_	_	0.8
7891	8016	.	_	PUNCT	_	_	_	_	_	_	0.8
7902											0.43
7902	8018	אַזוינע	_	_	_	_	_	_	_	_	0.43
7902	8019	שווינדלער	_	_	_	_	_	_	_	_	0.43
7902	8020	האָבּן	_	X	_	_	_	_	_	_	0.43
7902	8021	מיך	_	PRON	_	_	_	_	_	_	0.43
7902	8022	אָפט	_	_	_	_	_	_	_	_	0.43
7902	8023	אָפּגענאַרט	_	_	_	_	_	_	_	_	0.43
7902	8024	.	_	PUNCT	_	_	_	_	_	_	0.43
7910											0.65
7910	8026	איך	_	PRON	_	_	_	_	_	_	0.65
7910	8027	האָבּ	_	X	_	_	_	_	_	_	0.65
7910	8028	אין	_	ADP	_	_	_	_	_	_	0.65
7910	8029	מיין	_	X	_	_	_	_	_	_	0.65
7910	8030	גאָנץ	_	_	_	_	_	_	_	_	0.65
7910	8031	לעבּן	_	_	_	_	_	_	_	_	0.65
7910	8032	ניט	_	PART	_	_	_	_	_	_	0.65
7910	8033	געזוכט	_	_	_	_	_	_	_	_	0.65
7910	8034	זיך	_	PRON	_	_	_	_	_	_	0.65
7910	8035	נוקם	_	VERB	_	_	_	_	_	_	0.65
7910	8036	זיין	_	_	_	_	_	_	_	_	0.65
7910	8037	און	_	CCONJ	_	_	_	_	_	_	0.65
7910	8038	בּין	_	AUX	_	_	_	_	_	_	0.65
7910	8039	שטענדיג	_	_	_	_	_	_	_	_	0.65
7910	8040	געווען	_	X	_	_	_	_	_	_	0.65
7910	8041	צופרידן	_	_	_	_	_	_	_	_	0.65
7910	8042	מיט	_	ADP	_	_	_	_	_	_	0.65
7910	8043	מיין	_	X	_	_	_	_	_	_	0.65
7910	8044	מול	_	_	_	_	_	_	_	_	0.65
7910	8045	;	_	PUNCT	_	_	_	_	_	_	0.65
7910	8046	איך	_	PRON	_	_	_	_	_	_	0.65
7910	8047	האָבּ	_	X	_	_	_	_	_	_	0.65
7910	8048	שטענדיג	_	_	_	_	_	_	_	_	0.65
7910	8049	געקלערט	_	_	_	_	_	_	_	_	0.65
7910	8050	נאָר	_	X	_	_	_	_	_	_	0.65
7910	8051	אַן	_	DET	_	_	_	_	_	_	0.65
7910	8052	ערליכער	_	_	_	_	_	_	_	_	0.65
7910	8053	מאַן	_	NOUN	_	_	_	_	_	_	0.65
7910	8054	צו	_	ADP	_	_	_	_	_	_	0.65
7910	8055	בּלייבּן	_	_	_	_	_	_	_	_	0.65
7910	8056	.	_	PUNCT	_	_	_	_	_	_	0.65
7942											0.85
7942	8058	דאָס	_	DET	_	_	_	_	_	_	0.85
7942	8059	איז	_	X	_		_	_	_	_	0.85
7942	8060	געווען	_	X	_	_	_	_	_	_	0.85
7942	8061	נו	_	_	_	_	_	_	_	_	0.85
7942	8062	,	_	PUNCT	_	_	_	_	_	_	0.85
7942	8063	איז	_	X	_		_	_	_	_	0.85
7942	8064	דאָס	_	DET	_	_	_	_	_	_	0.85
7942	8065	מיר	_	PRON	_	_	_	_	_	_	0.85
7942	8066	געגאַנגען	_	VERB	_	_	_	_	_	_	0.85
7942	8067	ניט	_	PART	_	_	_	_	_	_	0.85
7942	8068	צום	_	ADP	_	_	_	_	_	_	0.85
7942	8069	בּעסטן	_	_	_	_	_	_	_	_	0.85
7942	8070	.	_	PUNCT	_	_	_	_	_	_	0.85
7956											0.75
7956	8072	אמת	_	X	_	_	_	_	_	_	0.75
7956	8073	,	_	PUNCT	_	_	_	_	_	_	0.75
7956	8074	איך	_	PRON	_	_	_	_	_	_	0.75
7956	8075	בּין	_	AUX	_	_	_	_	_	_	0.75
7956	8076	קיינעם	_	_	_	_	_	_	_	_	0.75
