א[רעדאַקטירן | רעדאקטירן קוואַלטעקסט],,
,,
גדלות,גאַדלעס,
גדלן,גאַדלען,
גדלנים,גאַדלאָנים,
גדלנות,גאַדלאָנעס,
גדלע,גאָדלע,
גדר,געדער,
גדרים,גדאָרים,
גואל,גויעל,
גואלים,גויעלים (אָדער אַמאָל גויאַלים),
גואל־צדק,גויעל־צעדעק,
גובר,גויווער,
גוג־ומגוג,גאָג־אומאָגעג,
גוג־מגוג,גאָג־מעגאָג,
גוזמא,גוזמע,
גוזמות (אָדער אַמאָל גוזמאות),גוזמעס (אָדער אַמאָל גוזמאָעס),
גוזר,גויזער,
גוזר־תענית,גויזער־טאָנעס,
גוי,גוי,
גויים,גוייִם,
גוי־גמור,גוי־גאָמער,
גויים־גמורים,גאָיִם־גמורים,
גויה,גויע,
גויות,גויעס,
גולם,גוילעם,
גולמים,גוילאָמים,
גומל,גוימל,
גומר,גוימער,
גונז,גוינעז,
גוסס,גויסעס,
גוססים,גויסעסים,
גוף,גוף,
גופים,גופֿים,
גופא,גופֿע,
גופניות,גופֿניִעס,
גורל,גוירל,
גורלים,גויראָלעס,
גורם,גוירעם,
גורמים,גוירמים‏[2],
,"(אָדער אַמאָל גאָרמים לויט ""אַרומנעמיק ייִדיש־ענגליש ווערטערבוך"" פֿון חיים באָכנער און שלום ביינפֿעלד)",
,(אָדער אַמאָל בעפֿרעסיע),
גורס,גוירעס,
גושן (אָדער אַמאָל גשן),גוישן,
גזילה (אָדער אַמאָל גזלה),גזיילע,
גזילות,גזיילעס,
גזירה (אָדער אַמאָל גזרה),גזיירע,
גזירות (אָדער אַמאָל גזרות),גזיירעס,
גזירה־שווה,גזיירע־שאָווע,
גזירת־ת״ח,גזיירעס־טאַך,
גזירת־ת״ח־ות״ט,גזיירעס־טאַך־וועטאַט,
גזלן,גאַזלען,
גזלנים,גאַזלאָנים,
גזלנות,גאַזלאָנעס,
גזע,געזע,
גזר,גזאַר,
גזר־דין,גזאַר־דין,
גט,געט,
גיבור (אָדער אַמאָל גבור),גיבער,
גיבורים (אָדער אַמאָל גבורים),גיבוירים,
גידול,גידל,
גידול־בנים,גידל־באָנים,
גידוף,גידעף,
גידופים,גידופֿים,
גיהנום,געהענעם (אָדער אַמאָל גענעם),
גיור,גיִער,
גיורים,גיִורים,
גיות,גײַעס,
גילגול,גילגל,
גילגולים,גילגולים,
גילגול־הנפש,גילגל־האַנעפֿעש,
גילגול־מחילות,גילגל־מעכילעס,
גילגול־שלג,גילגל־שעלעג,
גילוי,גילע,
גילויים,גילויִם,
גילוי־אליהו,גילע־עליִאָהו,
גילוי־עריות,גילע־אַרויעס,
גימטריא,גימאַטריע,
גימטריות,גימאַטריעס,
גימל,גימל,
גירוש (אָדער אַמאָל גרוש),גיירעש,
גירושים (אָדער אַמאָל גרושים),גערושים,
גירסא (אָדער אַמאָל גרסא),גירסע,
גירסאות (אָדער אַמאָל גרסאות),גירסאָעס,
גירסא־דינקותא,גירסע־דעיאַנקעסע,
גל־של־עצמות,גאַל־שעל־אַצאָמעס,
גלגל,גאַלגל,
גלגלים,גאַלגאַלים,
גלגל החוזר (אָדער אַמאָל חוזר),גאַלגל האַכויזער (אָדער אַמאָל גאַלגל כויזער),
גלוח,גאָלועך‏[2],
גלוחים,"(אָדער אַמאָל געלועך לויט ""אַרומנעמיק ייִדיש־ענגליש ווערטערבוך"" פֿון חיים באָכנער און שלום ביינפֿעלד)",
,גלוכים,
גלוי־ראש,גילע־ראָש,
גלות,גאָלעס,
גלות־השכינה,גאָלעס־האַשכינע,
גלח,גאַלעך,
גלחים,גאַלאָכים,
גלחות,גאַלכעס,
גליון,גיליען (אָדער אַמאָל גילויען),
גליונות,גיליוינעס,
גליל,גאָלעל,
גלילה,גלילע,
גם,גאַם,
גם־אתם,גאַם־אַטעם,
גם זו לטובה,גאַם זו לעטויווע,
גמילות־חסד,גמילעס־כעסעד,
גמילות־חסדים,גמילעס־כסאָדים,
גמר,גמאַר,
גמרא,געמאָרע (אָדער אַמאָל גמאָרע),
גמרות,געמאָרעס (אָדער אַמאָל גמאָרעס),
גמרא־ניגון,געמאָרע־ניגן (אָדער אַמאָל גמאָרע־ניגן),
גמר חתימה טובה,גמאַר כסימע טויווע,
גן,גאַן,
גן־עדן,גאַן־איידן,
גן־עדן־התחתון (אָדער אַמאָל גן־עדן־תחתון),גאַן־איידן־האַטאַכטן (אָדער אַמאָל גאַן־איידן־טאַכטן),
גנאי,גנײַ,
גנב,גאַנעף,
גנבים,גאַנאָווים,
גנבה,גאַנייווע (אָדער אַמאָל גענייווע אָדער גנייווע),
גנבות,גאַנייוועס (אָדער אַמאָל גענייוועס אָדער גנייוועס),
גניזה,גניזע,
גניזות,גניזעס,
גסיסה,קסיסע,
געגבול,געגוווּל,
געגועים,גאַגויִם,
גר,גער,
גרים,גיירים,
גרגרת,גאַרגערעס,
גרוגרת־דרבי־צדוק,גרויגרעס־דעראַבי־צאָדעק,
גרוש,גאָרעש,
גרושים,גרושים,
גרושה,גרושע,
גרושות,גרושעס,
גרם,געראַם (אָדער אַמאָל גראַם),
גשם,געשעם,
גשמיות,גאַשמיִעס,
,,
ד[רעדאַקטירן | רעדאקטירן קוואַלטעקסט],,
,,
לשון־קודש,אויסרייד,
ד (אויך די צאָל 4),ד,
דאגה,דײַגע,
דאגות,דײַגעס,
דאגת־פרנסה,דײַגעס־פּאַרנאָסע,
דאורייתא,דאָרײַסע,
דבקות,דווייקעס,
דבר,דאַבער (אַלס אַ ווערב),
"(אַמאָל געניצט אין דעם ייִדישן ווערב ""דברן"" וואָס הייסט ""רעדן"" און דער אויסרייד איז ""דאַבערן"")",דאָווער (אַלס אַ זאַכוואָרט),
דברים,דוואָרים,
דבר־אחר,דאָוועראַכער,
דבר־חול,דוואַרכאָל,
דברי־הימים,דיוורע־האַיאָמים,
דברים־בטלים,דוואָרים־בעטיילים (אָדער אַמאָל דוואָרים־בטיילים),
דבר־של־קימא,דאָווער־שעל־קאַיאָמע,
דבר־שקר,דוואַר־שעקער,
דברי־שקר,דיוורע־שעקער,
דבר־תורה,דוואַר־טוירע,
דברי־תורה,דיוורע־טוירע,
דג,דאָג,
דגים,דאָגים,
דהיינו,דעהײַנע,
דובר־שקרים,דויווער־שקאָרים,
דוברי־שקרים,דאָוורע־שקאָרים,
דוגמא,דוגמע,
דוגמאות (אָדער אַמאָל דוגמות),דוגמאָעס (אָדער אַמאָל דוגמעס),
דווקא,דאַפֿקע,
דוחה,דויכע,
דוחק,דויכעק,
דוכס,דוקעס,
דוכסים,דוקסים,
דוכסה,דוקסע,
דוכסות,דוקסעס,
"דוכן (געניצט אין דעם ייִדישן ווערב ""דוכנען"")",דוכן,
דומם,דוימעם,
דופק (אָדער אַמאָל דפק),דויפֿעק,
דור,דאָר,"""דער צווייטער דאָר זעלמעניאנער האָט זיך פארצווײַגט אין דרײַ מעכטיקע שטראָמען און עטלעכע בײַטײַכלעך."""
דורות,דוירעס,"פֿון דעם בוך ""זעלמעניאנער"" פֿון מוישע קולבּאק, דף 9."
דור־דורות,דאָר־דוירעס,
דור־המבול,דאָר־האַמאַבל,
דור־המידבר,דאָר־האַמידבער,
דור־הפלגה,דאָר־האַפֿלאָגע,
דורס,דוירעס,
דחק,טכאַק,
דחקות,דאַכקעס,
די־והותר,דײַ־וועהויסער,
דיבוק (אָדער אַמאָל דבוק),דיבעק,
דיבוקים (אָדער אַמאָל דבוקים),דיבוקים,
דיבור (אָדער אַמאָל דבור),דיבער,
דיבורים (אָדער אַמאָל דבורים),דיבורים,
דיין,דאַיען,
דיינים,דאַיאָנים,
דיינו,דײַיינו,
דיינות,דײַאָנעס,
דייקא,דייקע,
דימיון (אָדער אַמאָל דמיון),דימיען,
דימיונות (אָדער אַמאָל דמיונות),דימיוינעס,
דין,דין,
דינים,דינים,
דין־וחשבון,דין־וועכעזשבם,
דיני־כשרות,דינע־קאַשרעס,
דיני־ממונות,דינע־מאָמענעס,
דיני־נפשות,דינע־נעפֿאָשעס,
דין־תורה,דין־טוירע,
דין־תורות,דין־טוירעס,
דינה,דינע,
דינה בת יעקב,דינע באַס יאַנקעוו,
דיקדוק (אָדער אַמאָל דקדוק),דיקדעק,
דיקדוקי־עניות (אָדער אַמאָל דקדוקי־עניות),דיקדוקע־אַניִעס,
דירה,דירע,
דירות,דירעס,
דלד (אָדער אַמאָל דלת),דאַלעט,
דלות,דאַלעס,
דליתים,דאַלייסים,
דלות־פריץ,דאַלעס־פּאָרעץ,
דלות־פריצים,דאַלעס־פּריצים,
דלפון,דאַלפֿן,
דלפנים,דאַלפֿאָנים,
דלת אמות (אָדער אַמאָל ד׳ אמות),דאַלעט אַמעס,
דלת על דלת,דאַלעט אַל דאַלעט,
דם,דאָם,
דמים,דאָמים,
דם־שונא,דאַם־סוינע,
דם־שונאים,דאַם־סאָנים,
דמשק,דאַמעסעק,
דן,דאַן,
דעה,דייע,
דעות,דייעס,
דעת,דאַאַס,
דעת־הקהל,דאַס־האַקאָאָל,
דעתן,דײַטן,
דעתנים,דײַטאָנים,
דעתנות,דײַטאָנעס,
דף,דאַף,
דפים (אָדער אַמאָל דפּים),דאַפֿים (אָדער אַמאָל דאַפּים),
דפק,דייפֿעק,
דץ,דאָץ,
דץ הסוחר,דאָץ האַסויכער (אָדער אַמאָל דאָץ אַסויכער),
דקה,דאַקע,
דקות,דאַקעס,
דרגא,דאַרגע,
דרגות,דאַרגעס,
דרדקי־מלמד,דאַרדעקע־מעלאַמעד,
דרדקי־מלמדים,דאַרדעקע־מעלאַמדים,
דרום,דאָרעם,
דרום־מיזרח,דאָרעם־מיזרעך,
דרום־מערב,דאָרעם־מײַרעוו,
דרוש,דרוש,
דרושים,דרושים,
דריסת־הרגל,דריסעס־האָרעגל,
דרך,דערעך,
דרכים,דראָכים,
דרך־אגב,דערעך־אַגעוו,
דרך־ארץ,דערך־ערעץ‏[2],
,"(אָדער אַמאָל דערעך־ערעץ לויט ""אַרומנעמיק ייִדיש־ענגליש ווערטערבוך"" פֿון חיים באָכנער און שלום ביינפֿעלד)",
דרך־הטבע,דערעך־האַטעווע,
דרך־הישר,דערעך־האַיאָשער,
דרך־המלך,דערעך־האַמיילעך,
דרך־העולם,דערעך־האָוילעם,
דרכי־שלום,דאַרקע־שאָלעם,
דרש,דראַש,
דרשה,דראָשע,
דרשות,דראָשעס,
דרשן,דאַרשן,
דרשנים,דאַרשאָנים,
דת,דאַס,
,,
ה[רעדאַקטירן | רעדאקטירן קוואַלטעקסט],,
,,
לשון־קודש,אויסרייד,בײַשפּילן אין ייִדישער ליטעראַטור
ה (אויך די צאָל 5),ה,
הא,היי,
הבדל,העוודל,
הבדלים,העוודיילים,
הבדלה,האַוודאָלע,
הבדלות,האַוודאָלעס,
הבטחה,האַפֿטאָכע,
הבטחות,האַפֿטאָכעס,
הבל,העוול,
הבלים,האַוואָלים,
הבל־הבלים,העוול־האַוואָלים (אָדער אַמאָל האַווייל־האַוואָלים),
הבנה,האַוואָנע,
הברה,האַוואָרע,
הברות,האַוואָרעס,
הגבה,האַגבע,
הגדה,האַגאָדע,
הגדות,האַגאָדעס,
הגהה,האַגאָע,
הגהות,האַגאָעס,
הגם,האַגאַם,"""האגאם זיי זײַנען אויך געפורעמט לויט רעב זעלמעלעס..."""
,,"פֿון דעם בוך ""זעלמעניאנער"" פֿון מוישע קולבּאק, דף 9."
הדגשה,האַדגאָשע,
הדגשות,האַדגאָשעס,
הדיוט,העדיעט,
הדיוטים,העדיויטים,
הדס,האָדעס,
הדסים,האַדאַסים,
הדר,האָדער,
הדרכה,האַדראָכע,
הדרן,האַדרען,
הדרת־פנים,האַדרעס־פּאָנעם,
הדרת־פנימער (נישט בשלמות לשון קודש),האַדרעס־פּענעמער,
הודאה,הוידאָע,
הודאות,הוידאָעס,
הודעה,הוידאָע,
הודעות,הוידאָעס,
הווה,הויווע,
הוויה,האַוואַיע,
הולך,הוילעך,
הולך־בטל,הוילעך־באָטל,
הולך־רכיל,הוילעך־ראָכל,
הון,הוין,
הוספה,העסאָפֿע (אָדער אַמאָל הויסאָפֿע),
הוספות,העסאָפֿעס (אָדער אַמאָל הויסאָפֿעס),
הוצאה,העצאָע (אָדער אַמאָל הויצאָע),"""... און די איבעריקע פאר מיר אף הויצאָעס צו פירן אף דער אייביקער וועלט."""
הוצאות,העצאָעס (אָדער אַמאָל הויצאָעס),"פֿון דעם בוך ""זעלמעניאנער"" פֿון מוישע קולבּאק, דף 8."
הוצאות־הדרך,העצאָעס־האַדערעך,
הורג,הוירעג,
הרוגים,האַרוגים,
הורה,האָרע,
הוריות,הוירי‏ִעס,
הושענא,העשײַנע (אָדער אַמאָל הוישײַנע),
הושענות,העשײַנעס (אָדער אַמאָל הוישײַנעס),
הושענא־רבה,העשײַנע־ראַבע (אָדער אַמאָל הוישײַנע־ראַבע),
הזהרה (אָדער אַמאָל אזהרה),האַזהאָרע (אָדער אַמאָל אַזהאָרע),
הזהרות (אָדער אַמאָל אזהרות),האַזהאָרעס (אָדער אַמאָל אַזהאָרעס),
הזכרה (אָדער אַמאָל אזכרה),האַסקאָרע (אָדער אַמאָל אַסקאָרע),
הזכרות (אָדער אַמאָל אזכרות),האַסקאָרעס (אָדער אַמאָל אַסקאָרעס),
הזכרת־נשמות,האַסקאָרעס־נעשאָמעס,
הזמנה,האַזמאָנע,
הזמנות,האַזמאָנעס,
החלטה,האַכלאָטע,
החלטות,האַכלאָטעס,
החתום־מטה,העכאָסעם־מאַטאָ,
החתומים־מטה,האַכסומים־מאַטאָ,
הידור (אָדער אַמאָל הדור),הידער,
הידורים (אָדער אַמאָל הדורים),הידורים,
היום,האַיעם,
היוצא מדברינו,האַיויצע מידוואָריינו,
היות,העיויס,
היזק,העזעק,
היזקות,העזייקעס,
היינו (אָדער אַמאָל הינו),הײַנע,
היינו־הך (אָדער אַמאָל הינו־הך),הײַנע־האַך,
היכל,הייכל,
הילוך,הילעך,
הילולא,הילולע,
הילולות,הילולעס,
הילכות (אָדער אַמאָל הלכות),הילכעס,
היסח,העסעך,
היסח־הדעת,העסעך־האַדאַאַס,
היפוך,הייפּעך,
היפוכים (אָדער אַמאָל הפכים),היפּוכים (אָדער אַמאָל האַפֿאָכים),
היקף,העקעף,
היקפים,העקייפֿים,
הירהור (אָדער אַמאָל הרהור),הירער,
הירהורים,הירהורים,
היתכן,האַייִטאָכן,
היתר (אָדער אַמאָל התר),העטער,
היתרים (אָדער אַמאָל התרים),העטיירים,
היתר־הוראה,העטער־הויראָע,
הכבדה,האַכבאָדע,
הכבדות,האַכבאָדעס,
הכחשה,האַקכאָשע,
הכחשות,האַקכאָשעס,
הכל־בכל,האַקל־באַקל,
הכל־בכל־מכל,האַקל־באַקל־מיקל,
הכלל (פֿון כלל),האַקלאַל,
הכנה,האַכאָנע,
הכנות,האַכאָנעס,
הכנסה,האַכנאָסע,
הכנסות,האַכנאָסעס,
הכנסת־אורחים,האַכנאָסעס־אָרכים,
הכנסת־כלה,האַכנאָסעס־קאַלע,
הכנעה,האַכנאָע,
הכרזה,האַכראָזע,
הכרזות,האַכראָזעס,
הכרח,העכרעיעך (אָדער אַמאָל העכרעך),
הכרעה,האַכראָע,
הכרעות,האַכראָעס,
הכשר,העכשער,
הכשרים,העכשיירים,
הכשרה,האַכשאָרע,
הכשרות,האַכשאָרעס,
הלבשה,האַלבאָשע,
הלבשות,האַלבאָשעס,
הלוואה,האַלוואָע,
הלוואות,האַלוואָעס,
הלוואי,האַלעווײַ (אָדער אַמאָל אַלעווײַ),
הלום,הלום,
הלכה,האַלאָכע,
הלכות,האַלאָכעס,
הלכה למשה מסיני,האַלאָכע לעמוישע מיסינײַ,
הלל,האַלעל,
הללויה,האַלעלויִאָ,
הלמאי (פֿון למאי),האַלעמײַ,
הלעיטני,האַליטייני,
הלצה,האַלאָצע,
הלצות,האַלאָצעס,
המבדיל,האַמאַוודיל (אָדער אַמאָל האַמאַוודל),
המון,האַמוין,
המונים,האַמוינים,
המון־עם,האַמוין־אַם,
המוציא (אָדער אַמאָל מוציא),האַמויצע (אָדער אַמאָל מויצע),
המכונה,האַמעכונע,
המן,האָמען,
המן הרשע,האָמען האַראָשע,
המצאה,האַמצאָע,
המצאות,האַמצאָעס,
המשך,העמשעך,
המשכים,העמשייכים,
הן,הען,
הן־צדק,הען־צעדעק,
הנ״ל,האַנאַל,
הנאה,האַנאָע,
הנאות,האַנאָעס,
הנהגה,האַנהאָגע,
הנחה,האַנאָכע,
הנחות,האַנאָכעס,
הסב,העסעב,
הסבר,העסבער,"""אין דער מישפּאָכע איז אומגעגאנגען א העסבער, אז ער שטאמט פון „טיף ראסיי”."
,,"פֿון דעם בוך ""זעלמעניאנער"" פֿון מוישע קולבּאק, דף 5."
הסברה,האַזבאָרע,
הסברות,האַזבאָרעס,
הסגת־גבול,האַסאָגעס־גוווּל,
הסכם,העסקעם,
הסכם־כולם,העסקעם־קולעם,
הסכמה,האַסקאָמע,
הסכמות,האַסקאָמעס,
הספד,העספּעד,
הספדים,העספּיידים,
הסתדרות,היסטאַדרוט,
הסתלקות,היסטאַלקעס,
העוויה,האַוואַיע,
העוויות,האַוואַיעס,
העזה,האָזע,
הערה,העאָרע,
הערות,העאָרעס,
העתקה,האַטאָקע,
העתקות,האַטאָקעס,
הפטורה,האַפֿטוירע,
הפטורות,האַפֿטוירעס,
הפלא־ופלא,האַפֿלע־וואָפֿעלע,
הפנים (פֿון פנים),האַפּאָנעם,
הפסקה,האַפֿסאָקע,
הפסקות,האַפֿסאָקעס,
הפקר,העפֿקער,
הפקרות,העפֿקיירעס,
הצטרכות,היצטאַרכעס,
הצלה,האַצאָלע,
הצלות,האַצאָלעס,
הצלחה,האַצלאָכע,
הצלחות,האַצלאָכעס,
הקדוש־ברוך־הוא,האַקאָדעש־באָרכו,
(הקב״ה),,
הקדמה,האַגדאָמע,
הקדמות,האַגדאָמעס,
הקדש,העגדעש,
הקדשים,העגדיישים,
הקיצור (פֿון קיצור),האַקיצער,
הקפדה,האַקפּאָדע,
הקפדות,האַקפּאָדעס,
הקפה,האַקאָפֿע,
הקפות,האַקאָפֿעס,
הר,האַר,
הרים,האָרים,
הר־הבית,האַר־האַבאַיִס,
הר־הזיתים,האַר־האַזייסים,
הרים־וגבעות,האָרים־אוגוואָעס,
הרב,האָראַוו,
הרגל,הערגל,
הרגלים,הערגיילים,
הרג,האַרג,
הרוג,האָרעג,
הרוגים,האַרוגים,
הרחבה,האַרכאָווע,
הרי־את,האַריי־אַט,
הרי־חושך (אָפֿט געשריבן ה׳),האָרע־כוישעך,
הריגה,האַריגע,
הריגות,האַריגעס,
הרף־עין,הערעף־אײַען,
הרשאה,האַרשאָע,
הרשאות,האַרשאָעס,
השארת־הנפש,האַשאָרעס־האַנעפֿעש,
השבעה,האַשבאָע,
השבעות,האַשבאָעס,
השבת־אבדה,האַשאָוועס־אַוויידע,
השגה,האַסאָגע,
השגות,האַסאָגעס,
השגחה,"האַזשגאָכע (אָדער אַמאָל האַשגאָכע לויט דעם בוך ""זעלמעניאנער"" פֿון מוישע קולבּאק, דף 9)","""... געפורעמט לויט רעב זעלמעלעס האשגאָכע..."""
,,"פֿון דעם בוך ""זעלמעניאנער"" פֿון מוישע קולבּאק, דף 9."
השגחה־פרטית,האַזשגאָכע־פּראָטעס,
השכלה,האַסקאָלע,
השכמה,האַשקאָמע,
השלמה,האַשלאָמע,
השלמות,האַשלאָמעס,
השם (פֿון שם),האַשעם,
"(אָפֿט געשריבן ""ה׳"")",,
השם ינקום דמו,האַשעם ייִנקוים דאָמוי,
(אָפֿט געשריבן הי״ד),,
השם־יתברך,האַשעם ייִסבאָרעך,
(אָפֿט געשריבן הש״י(ת)),,
השמטה,האַשמאָטע,
השמטות,האַשמאָטעס,
השערה,האַשאָרע,
השערות,האַשאָרעס,
השפעה,האַשפּאָע,"""... וואָס זײַנען ארונטערגעפאלן אונטער פרעמדע האשפּאָעס און מאכן דעם אָנשטעל."""
השפעות,האַשפּאָעס,"פֿון דעם בוך ""זעלמעניאנער"" פֿון מוישע קולבּאק, דף 6."
השקפה,האַשקאָפֿע,
השקפות,האַשקאָפֿעס,
השתדלות,הישטאַדלעס,
השתנה,האַשטאָנע (אַמאָל שטאָנע),
השתפכות־הנפש,הישטאַפּכעס־האַנעפֿעש,
התקווה,האַטיקוואָ,
התבודדות,היסבוידעדעס,
התבוננות,היסבוינענעס,
התגלות,היסגאַלעס,
התחייבות,היסכײַוועס,
התחלה,האַסכאָלע,
התחלות,האַסכאָלעס,
התלהבות,היסלײַוועס,
התמדה,האַסמאָדע,
התמנות,היסמאַנעס,
התנגדות,היסנאַגדעס,
התנהגות,היסנײַגעס,
התנצלות,היסנאַצלעס,
התעוררות,היסוירערעס,
התפעלות,היספּײַלעס,
התקווה,האַטיקוואָ,
התראה,האַסראָע,
התראות,האַסראָעס,
התרוממות,היסרוימעמעס,
התרת־נדרים,האַטאָרעס־נעדאָרים,
,,
ו[רעדאַקטירן | רעדאקטירן קוואַלטעקסט],,
,,
לשון־קודש,אויסרייד,
ו (אויך די צאָל 6),אוּ\וו\וי\מעלופּם־וואָוו,
ואדר,ווייאָדער,
ואיננו,וועיינענו (אָדער אַמאָל וויינענו),
ובכן,אוּווכיין (אָדער אַמאָל אובעכיין),
והא־ראיה,וועהאָ־רײַע,
והשנית,וועהאַשיינעס,
וו,וואָוו,
ווידוי (אָדער אַמאָל ודוי),ווידע,
ווידויים (אָדער אַמאָל ודויים),ווידויִם,
וויכוח (אָדער אַמאָל ויכוח),וויקועך,
וויכוחים (אָדער אַמאָל ויכוחים),וויקוכים,
וויתור,וויטער,
וויתורים,וויטורים,
וולד (אָדער אַמאָל ולד),וולאַד,
ווסת (אָדער אַמאָל וסת),וועסט,
וועד,וואַאַד,
וועדים,וואַדים,
וועד ארבע ארצות,וואַאַד אַרבאַ אַראָצעס,
וושט,וויישעט,
וותיק (אָדער אַמאָל ותיק),וואָסעק,
וותיקים (אָדער אַמאָל ותיקים),וואָסיקים,
וותרן (אָדער אַמאָל ותרן),וואַטרען,
וותרנים (אָדער אַמאָל ותרנים),וואַטראָנים,
וותרנות (אָדער אַמאָל ותרנות),וואַטראָנעס,
וחלקלק,וואַכלאַקלאַק,
ויברח,וואַייִוורעך,
ויהי,ווײַהי,
ויהי היום,ווײַהי האַיוים,
ויזתא,ווײַזאָסע,
ויצעקו,וואַייִצאַקו (אָדער אַמאָל ווײַצאַקו),
ויקרא,וואַייִקראָ,
ויתרוצצו,וואַייִסרויצעצו (אָדער אַמאָל ווײַסרויצעצו),
וכדומה (אָפֿט געשריבן וכ׳),וועקעדוימע (אָדער אַמאָל אוכדוימע),
ונתנה־תוקף,אונסאַנע־טויקעף,
ועל־כולם,וועאַל־קולעם,
וצדקתך,ווייציטקאָסכאָ,
ושתי,וואַשטע,
,,
ז[רעדאַקטירן | רעדאקטירן קוואַלטעקסט],,
,,
לשון־קודש,אויסרייד,בײַשפּילן אין ייִדישער ליטעראַטור
ז (אויך די צאָל 7),ז,
זאת־חנוכה,זויס־כאַניקע,
זהוב,זאָהעוו,
זהובים,זעהוּווים,
זהיר־וזהיר,זאָהער־וועזאָהער,
זהירות,זהירעס,
זוגתי,זוגאָסי,
זוהר,זויער,
זוכה,זויכע,
זול,זאָל,
זולל־וסובא,זוילעל־וועסויווע,
זונה,זוינע,
זונות,זוינעס,
זיווג,זיוועג,
זיווגים,זיוווּגים,
זיוף,זיִעף,
זיופים,זיִופֿים,
זיין,זאַיען,
זילזול (אָדער אַמאָל זלזול),זילזל,
זילזולים (אָדער אַמאָל זלזולים),זילזולים,
זיקנה (אָדער אַמאָל זקנה),זיקנע,
זכה־בגורל,זאָכע־בעגוירל,
זכרון,זיקאָרן,
זכות,סכוס,
זכותים,סכוסים,
זכות־אבות,סכוס־אָוועס,
זכות־הקיום,סכוס־האַקיִעם,
זכותו יגן (עלינו),סכוסע יאָגן (אָליינו),
זכות־עצמו,סכוס־אַצמע,
זכיה,סכיִע,
זכיות,סכיִעס,
זכיות,זאָכיִעס,
זכר,זאָכער (אָדער אַמאָל זייכער),
זכרים,סכאָרים,
זכר־לחורבן,זייכער־לעכורבם,
זכר צדיק לברכה,זייכער צאַדעק ליווראָכע,
(אָפֿט געשריבן זצ״ל),(זאַצאַל),
זכרונה לברכה,זיכרוינע ליווראָכע,
(אָפֿט געשריבן ז״ל),(זאַל),
זכרונו לברכה,זיכרוינע ליווראָכע,
(אָפֿט געשריבן ז״ל),(זאַל),
זכרונות,זיכרוינעס,
זכרונם לברכה (אָפֿט געשריבן ז״ל),זיכרוינאָם ליווראָכע (זאַל),
זכרות,זאַכרעס,
זמירות,זמירעס,
זמן,זמאַן,
זמנים,זמאַנים,
זמר,זעמער,
זנב,זאָנעוו,
זנבים,זנאָווים,
זנות,זנוס,
זקן,זאָקן,
זקנים,סקיינים,
זקנה,סקיינע,
זקנות,סקיינעס,
זרוע,זרויע,
זריז,זאָרעז,
זריזים,זריזים,
זריעה,זריִע,
זריעות,זריִעס,
זרע,זערע,
"זרק (געניצט אין דעם יידישן ווערב ""זרקען"")",זאַרק (אָדער אַמאָל זאַרג),
זרת,זערעס,
,,
ח[רעדאַקטירן | רעדאקטירן קוואַלטעקסט],,
,,
לשון־קודש,אויסרייד,בײַשפּילן אין ייִדישער ליטעראַטור
ח (אויך די צאָל 8),כ,
חב״ד,כאַבאַד,
חבלי־לידה,כעוולע־ליידע,
חבלי־משיח,כעוולע־מעשיִעך,
חבר (אָפֿט געשריבן ח׳),כאַווער (אָדער אַמאָל כאָווער),
חברים (אָפֿט געשריבן חח׳),כאַוויירים,
חברה,כעוורע,"""א פאָר געלע כעוורע זײַנען צוגעקומען שוין פאר דער לעצטער צײַט,..."""
חברות,כעוורעס,"פֿון דעם בוך ""זעלמעניאנער"" פֿון מוישע קולבּאק, דף 6."
חברה לצים,כעוורע לייצים,
חברה־קדישא,כעוורע־קעדישע,
חברותא,כאַוורוסע,
חברותות,כאַוורוסעס,
חברייא,כעווראַיע,
חברייות,כעווראַיעס,
חגא,כאָגע,
חגות (אָדער אַמאָל חגאות),כאָגעס (אָדער אַמאָל כאַגאָעס),
חד־בדרא,כאַד־בעדאָרע,
חד־גדיא,כאַד־גאַדיע,
חדווה,כעדווע,
חדר,כיידער,
חדרים,כאַדאָרים,
חדר־מיוחד,כיידער־מעיוכעד,
חדר־מתוקן,כיידער־מעסוקן,
חדרים־מתוקנים,כאַדאָרים־מעסוקאָנים,
חוב,כויוו,
חובות,כויוועס,
חובב,כויוועוו,
חובב־ציון,כויוועוו־ציִען,
חובבי־ציון,כאָוועווע־ציִען,
חודש,כוידעש,
חדשים,כאַדאָשים,
חוות־דעת,כאַוועס־דאַאַס,
חוזק,כויזעק,
חוזר־בתשובה,כויזער־ביטשוּווע,
חוזרים־בתשובה,כאָזרים־ביטשוּווע,
חוט,כוט,
חוט־השדרה,כוט־האַשעדרע,
חוט־השדרות,כוט־האַשעדרעס,
חוטא,כויטע,
חוטאים,כויטים (אָדער אַמאָל כאָטים),
חוטא־בעגל,כויטע־בעייגל (אָדער אַמאָל כויטע־בייגל),
חוטם,כויטעם,
חוכא־וטלולא,כוכע־אוטלולע (אָדער אַמאָל כוכע־טלולע),
חול־המועד,כאַלעמויעד (אָדער אַמאָל כאַלעמויד אָדער כאָלעמויעד אָדער כאָלעמויד),
חולה,כוילע,
חוליאים (אָדער אַמאָל חולאים אָדער חולים),כעלאָיִם‏[2],
,"(אָדער אַמאָל כוילים אָדער כאַלאָים לויט ""אַרומנעמיק ייִדיש־ענגליש ווערטערבוך"" פֿון חיים באָכנער און שלום ביינפֿעלד)",
,(אָדער אַמאָל כעליִיִם),
