Base,Romanized,Yiddish,Gloss,Definition
,,בראָנדז ז,,бронза
,,בראָנדז_ן א,,бронзовый
,,בראָנדזעלע^ט מ ־ן,,браслет
,,בראַ^נדעווע׀ן (געבראַ^נדעוועט),,"1. ругать,"
,,בראַ^נדצייכן מ ־ס,,клеймо; (выжигаемое
,,"בראָנז ז זען בראָנדז
",,"בראַנזשע וו ־ס	1. отрасль, область"
,,בראָנכי^ט מ ־ן,,бронхит
,,בראָנע וו ־ס,,борона
,,בראָ^נעווע׀ן (געבראָ^נעוועט),,"боронить,"
,,בראָנפן מ ־ס,,водка
,,טרייב׀ן בראָנפן,,гнать водку
,,בראסל(י)ע^ט מ ־ן,,браслет
,,בראָק מ ־ן (דימ. ברעקל),,"крошка,"
,,בראַקאָוונע א,,бракованный
,,בראָקאַ^ט מ,,парча
,,בראָקאַט_ן א,,парчовый
,,בראַקיר׀ן (בראַקי^רט),,браковать;
,,"בראַקירער מ =, ־ס (וו ־קע)",,"браковщик,"
,,בראָק׀ן (געבראָ^קט),,1. крошить
,,"בראַ^קעווע׀ן (געבראַקעוועט) זען בראַקירן
",,"בראַקער מ =, ־ס	специалист по заготовке"
,,בראָש ¹ וו ־ן (דימ. בראָשקע),,"брошь, брошка"
,,בראָש ² [ב(ע)ראָ^ש] אדוו. (פון),,"во главе,"
,,בראָש ³ אדוו.,,1. кроме/сверх того
,,בראָש־גלוי [בעראָ^ש־גאָ^לע] אדוו.,,"открыто,"
,,בראָשו^ר וו ־ן,,брошюра
,,בראשית [בריישעס] מ,,1. «±ерешит»
,,"בראָשקע וו ־ס דימ. זען בראָש ¹
",,ברבים [בעראבים] אדוו.	публично
,,ברואים [ברויִם] מצ.,,"создания, твари,"
,,"ברוגז [ברויגעז] א, אדוו.",,"обиженный,"
,,זיין* ברוגז (אויף),,"обижаться, дуться,"
,,זיין* ברוגז (מיט),,быть в ссоре с кем-л.
,,זיי זיינען ברוגז,,они в ссоре
,,ברוגז־טאַנץ [ברוי^געז־] מ,,род свадебного
,,"ברוגז׀ן [ברויגעזן] זיך (געברוגזט
",,[געברויגעזט] זיך) (אויף) сердиться на...
,,ברוד מ,,"грязь (то, что пачкает,"
,,ברודיק א,,грязный (запачканный)
,,"ברודנע א זען ברודיק
",,ברודער מ (מצ. ברידער)	брат
,,"ברו^דעריש א, אדוו.",,братский; по-братски
,,ברו^דערן־זון מ ..־זין,,племянник
,,"ברו^דערן־טאָכטער וו ..־טעכטער
",,племянница
,,"ברו^דער־קבר [־קייווער] מ ־ים
",,זען ברידער־קבר
,,ברו^דערקע מ,,"дружище, брат(ец),"
,,ברו^דערשאַפט וו ־ן,,братство
,,ברו^טאָ..,,1. брутто
,,ברו^טאָ־וואָג,,вес брутто
,,ברו^טאָ־הכנסה [־האכנאָסע],,валовой
,,"ברוטאַ^ל א, אדוו.",,"грубый, жестокий,"
,,"ברוטשקע וו ־ס זען ברוקווע
",,"ברויז וו (מצ. ־ן, ברייזער, דימ. ברייזל)"
,,ברויזונג וו,,"кипение, бурление;"
,,ברויזן ¹ מ ־ס,,крошка; кусочек
,,ברויז׀ן ² (געברוי^זט),,"кипеть, клокотать,"
,,ברויט ז ־ן (דימ. ברייטל),,1. хлеб
,,ברויט מיט נישט/צונג,,шутл. сухой хлеб
,,אָ^פּ׀נעמ׀ען זיין שטיקל ברויט ביי,,отбивать
,,"ברוי^טגעבער מ =, ־ס",,кормилец (семьи)
,,ברוי^טניצע וו ־ס,,хлебница
,,ברויכ׀ן* (ער ברויך; געברוי^כט),,иметь
,,ברוין א,,1. коричневый
,,ברוינ׀ער בער,,бурый медведь
,,ברוינע קוילן,,бурый уголь
,,ברוינע הענט,,смуглые руки
,,זי האָט זיך אָ^פּגעברענט אויף ברוין,,она
,,ברוי׀ען (געברוי^ט),,1. варить (пиво)
,,ברויעריי^ וו ־ען,,"пивоваренный завод,"
,,ברוך מ ־ן,,грыжа
,,"ברוך דיין אמת [באָרעך דייען עמעס] פראז.
",,«±лагословен Áудья праведный» –
,,ברוך־הבאָ [באָר(ע)כאבע] 1. מ ־ס,,приём
,,ברוך־הבאָ [באָרעכאבאָ^] 2. אינט.,,добро
,,"ברוך־הוא [באָרוך־הו^/באָרכו^] פראז.:
",,"גאָט ברוך הוא	±ог, благословен он"
,,"ברוך־הנימצא [באָרעך־האני^מצע] אינט.
",,спасибо (ответ на приветствие
,,"ברוך־השם [באָר(ע)כאשע^ם] אדוו.
",,) ב''ה (часто пишется сокращённо
,,"ברוכים־הבאָים [ברוכים־האבאָ^יִם] אינט.
",,добро пожаловать! (в обращении
,,"ברוכים־היושבים [ברוכים־האיוי^שווים] אינט.
",,1. спасибо (ответ на приветствие
,,"ברוכצאָל וו ־ן זען בראָכצאָל
",,ברוך שפּטרני [באָרעך שעפּאָטראני] פראז.
,,ברום מ ־ען,,"рёв, рык"
,,ברומבל׀ען (געברומבלט),,"напевать,"
,,ברונע^ט מ ־ן (וו ־קע),,брюнет
,,"ברונעם מ (מצ. ־ס, ברי^נעמער)",,колодец
,,ברוס מ ־ן (דימ. בריסל),,брус
,,ברוסט וו (מצ. בריסט),,1. грудь (часть
,,ברוסטביין מ ־ער,,грудина
,,ברוסטיק א,,1. грудной
,,ברו^סטקאַסטן מ ־ס,,грудная клетка
,,"ברו^סלינע, ברו^סניצע וו ־ס",,брусника;
,,"ברוצקע וו ־ס זען ברוקווע
",,ברוק מ	мостовая
,,ברוקאָווניק מ ־עס,,мостильщик
,,ברוקווע וו ־ס,,брюква; репа
,,ברוקיר׀ן (ברוקי^רט),,"мостить (дорогу,"
,,"ברושטי^ן מ זען בורשטין
",,"ברחבותדיק [בערא^כוועסדיק] אדוו.	удобно,"
,,"ברחל בתּך הנאַקעטע [בעראָכל ביטכאָ
",,האנא^קעטע] פראז.	шутл.
,,"ברחל בתּך הקטנה =
",,ברחל בתּך הקטנה [בעראָכל ביטכאָ
,,"האקטאנאָ פראז.:
",,אוי^ס׀רעד׀ן ברחל בתּך הקטנה
,,ברי מ ־ען,,ожог
,,אַ ברי טאָ׀ן* אק.,,1) обжечь (производить
,,"בריאת־העולם [בריִעס־האָוי^לעם] ז
",,сотворение мира
,,בריגאַדע וו ־ס,,бригада
,,"ברידזע׀ן זיך (געברידזעט זיך) (פאר)
",,брезг(ов)ать
,,ברידזש מ,,бридж
,,"ברידער מצ. זען ברודער
",,"ברי^דערלעך א, אדוו.	братский; по-братски"
,,"ברי^דער־קבר [־קייווער] ־ים [־קוואָרים]
",,братская могила
,,ברי^דערשאַפט וו,,"братство (дружба,"
,,ברידקע א,,"отвратительный, противный,"
,,"בריה [בעריע] 1. מ, וו (מצ. בריות)",,"умелый,"
,,"זיין* אַ בריה אויף:
",,ער איז אַ בריה אויף	он мастер/мастак
,,בריה 2. וו (מצ. בריות),,"умелая, проворная,"
,,"בּריהטע, בּריהכע [בע^ריעטע, בע^ריעכע]
",,"וו ־ס	умелая, проворная, расторопная,"
,,"בריה׀ן [בעריען] זיך (געבריהט [געבעריעט]
",,"זיך)	пытаться выпутаться, выбраться;"
,,בריהן זיך קעגן,,храбриться
,,"בריה־ניפלאה [בעריע־ניפלאָע] מ, וו (מצ. בריות־ניפלאָות)",,"очень умелый,"
,,בריהש [בעריעש] א,,"ловкий, умелый;"
,,"בריהשאַפט [בע^ריעשאפט] וו ־ן
",,"1. ловкость, умение, сноровка;"
,,בריהשקייט [בע^ריעשקייט] וו,,"ловкость,"
,,בריוו מ =,,письмо; послание
,,"ברי^ווטרעגער, ברי^וון־טרעגער מ ־ס
",,(וו ־ין)	почтальон; письмоносец
,,ברי^וון־שטעלער מ ־ס,,письмовник
,,ברי^ווקאַסטן מ ־ס,,почтовый ящик
,,בריזאַלב וו,,фарм. свинцовая мазь
,,בריטאַ^ן מ ־עס,,1. бульдог
,,בריטווע וו ־ס,,бритва
,,בריטיש א,,британский
,,בריטשקע וו ־ס,,бричка
,,"ברייזל דימ. זען ברויז
",,ברייזער מצ. זען ברויז
,,ברייט 1. א,,1. широкий прям. и перен.;
,,ברייט 2. אדוו.,,широко прям. и перен.
,,לעב׀ן ברייט,,жить широко/на широкую
,,ווער׀ן ברייטער ווי לענגער,,"надуваться,"
,,ער ווערט ברייטער ווי לענגער,,тж. его
,,ברייט 3. וו ־ן,,1. ширина
,,אין דער ברייט,,поперёк; в ширину
,,בריי^ט־ביינערדיק א,,"ширококостный,"
,,"בריי^טגיביק א, אדוו.",,щедрый; щедро
,,בריי^טגיביקייט וו,,щедрость
,,"בריי^טהאַרציק א, אדוו.",,"щедрый,"
,,בריי^טהאַרציקייט וו,,"щедрость,"
,,ברייטל ז ־עך (דימ. פון ברויט),,хлебец
,,ברייטלעך 1. א,,1. широковатый
,,ברייטלעך 2. אדוו.,,"1. широко перен.,"
,,"ברייטער א בלויז אטריב. (קאָמפּ. פון ברייט)
",,довольно широкий
,,"בריי^טער׀ן זיך (געברייטערט זיך)
",,1. расширяться; шириться
,,ברייטקייט וו,,1. широта; размах
,,ברייע וו,,1. (пивное) сусло
,,בריי׀ען ¹ (געברייט),,варить (пиво); гнать
,,ברייע׀ן ² (געברייעט),,"разглагольствовать,"
,,וואָס זאָל איך אייך לאַנג ברייען,,не буду
,,ברייער מ ־ס,,пивовар
,,ברייעריי^ וו ־ען,,"пивоваренный завод,"
,,בריִיִק א,,"1. обжигающий, горячий; жгучий"
,,בריל וו ־ן,,"1. стекло, линза (очков)"
,,ברילוּיע׀ן (געברילוּיעט),,"блестеть, сверкать"
,,בריליאַ^נט [лья] מ ־ן,,"бриллиант,"
,,בריליאַנטי^רט [лья] א,,гранёный
,,בריליאַנט_ן [лья] א,,"1. бриллиантовый,"
,,בריליאַנטשיק מ ־עס,,"ювелир, торговец"
,,בריליק מ ־עס,,козырёк
,,ברילן ¹ מצ.,,очки
,,בריל׀ן ² (געברי^לט),,"реветь, рычать"
,,"ברי^לנשלאַנג וו, מ ־ען",,очковая змея
,,ברינדזע וו,,брынза
,,"ברי^נעמער מצ. זען ברונעם
",,בריסט מצ. זען ברוסט
,,"בריסל ¹ דימ. זען ברוס
",,בריסל ² אג''נ ז	±рюссель
,,"ברי^סלענע וו ־ס זען ברוסלינע
",,בריִ׀ען (געברי^ט)	1. обжигать (о чём-л.
,,בריק ¹ וו ־ן,,1. мост
,,"בריק ² מ ־ן זען בריקע
",,"בריקל ז ־עך (דימ. פון בריק)	тж. трап,"
,,בריקע ¹ וו ־ס,,"повозка, фура; бричка"
,,בריקע ² מ ־ס,,"удар (ногой, копытом);"
,,אַ בריקע טאָ׀ן* (דאט.),,лягнуть кого-л.
,,ברי^קע(ווע)׀ן (געברי^קע(ווע)ט),,"брыкать,"
,,ברי^קע(ווע)ן זיך,,брыкаться (активно
,,ברירה [בריירע] וו (מצ. ברירות),,"выбор,"
,,די ברירה איז ביי אייך,,"воля ваша, как вам"
,,ברישליק מ ־עס,,"куртка, жупан"
,,ברית [בריס] מ ־ן,,1. библ. союз между
,,ברית־חדשה [בריס־כאדאָ^שע] מ,,½овый
,,ברית־מילה [בריסמילע] וו,,"евр. обрезание,"
,,"ברכה [בראָכע] וו (מצ. ברכות)
",,1. благословение (доброе пожелание;
,,מאַכ׀ן אַ ברכה (איבער),,произнести
,,מאַכ׀ן ברכה,,"отведать, угоститься"
,,"די רעגנס זיינען אַ ברכה פאַרן
",,ע^רדאַרבעטער	дожди – благо
,,אַ ברכה פון גאָט,,божья милость
,,"אַ סך [סאך] מלאכות [מעלאָכעס] און ווייניק
",,"ברכות	погов. тот, кто обладает"
,,"ברכה־לבטלה [בראָכע־לעוואטאָ^לע] וו
",,"1. «напрасное благословение»,"
,,בר־מזל [בארמאזל] מ ־ס,,"счастливец,"
,,ברמיזה [בירמיזע] אדוו.,,"намёком,"
,,בר־מינן [בא^רמענען] מ ־ס,,покойник; труп
,,"בר־מיצווה [בארמיצווע] 1. וו (מצ. בר־מיצוות)
",,±ар-мицва – вступление мальчика
,,"בר־מיצווה [בארמיצווע] 2. מ
",,"(מצ. בר־מיצוות) мальчик тринадцати лет,"
,,ווער׀ן בר־מיצווה,,достичь
,,"בר־מיצר [בארמייצער], בר־מיצרא
",,"[בארמעצרע] מ ־ס	человек, пользующийся"
,,בר־נש [בארנא^ש] מ ־ן,,книжн. человек
,,בר־סמכא [בארסאמכע] מ ־ס,,"авторитет,"
,,"ברעג מ ־ן, ־עס",,1. берег
,,דער ברעג ים [יאם],,"берег моря,"
,,ברעגוואַך וו,,береговая охрана; морская
,,ברעד מ,,бред
,,ברעזע^נט מ ־ן,,брезент
,,ברעזענט_ן א,,брезентовый
,,"ברעט וו, ז ־ער",,"доска (особ. деревянная,"
,,ברע^טערן א,,дощатый
,,ברעך ז,,(металлический) лом
,,"ברע^כאייזן מ, ז ־ס",,лом (орудие)
,,ברעכיק א,,"ломкий, хрупкий"
,,ברע^כמיטל ז ־ען,,рвотное (средство)
,,ברעכ׀ן (געבראָכן),,1. ломать; ломить;
,,ברעכן די הענט,,ломать руки (быть
,,"3.:
",,ברעכן זייטן	полигр. верстать
,,l ברעכן דאט.,,ломить (об ощущении
,,ס'ברעכט מיר דער רוקן,,у меня ломит
,,l ברעכן זיך,,"ломаться, разбиваться"
,,"l ברעכן אומפּ. אויף טאָג:
",,עס ברעכט אויף טאָג	светает
,,ברע^כעוודיק א,,"ломкий, хрупкий"
,,ברע^כעוודיקייט וו,,"ломкость, хрупкость"
,,ברע^כעניש ז ־ן,,1. рвота
,,"ברעכער מ =, ־ס",,основное лицо
,,ברעכשטאַנג מ ־ען,,лом (орудие)
,,ברעלאָ^ק מ ־עס,,брелок
,,ברעם ¹ וו ־ען,,1. бровь
,,"קוק׀ן פון אונטער די ברעמען אויף
",,смотреть исподлобья на...
,,אַן אויג מיט אַ ברעם,,неразлучные друзья;
,,l ברעמען מצ.,,тж. ресницы
,,"ברעם ² מ ־ען, ברעמעניע [не] וו ־ס",,охапка
,,ברען מ,,"1. жар, пыл, запал; горячность,"
,,"2.:
",,זיין* אין פולן ברען	быть в полном
,,"ברענבריל וו ־ן זען ברענגלאָז
",,"ברענגאָלד ז	золото, полученное"
,,ברענגלאָז ז ..גלעזער,,зажигательное/
,,"ברענג׀ען (געברע^נגט, געבראַ^כט)
",,"1. приносить, приводить, привозить;"
,,"ברענגען דאָס קינד אין קי^נדער־גאָרטן
",,отвести ребёнка в детский сад
,,גיי׀ן* ברענגען מילך,,пойти за молоком
,,ברענגען פרוכטן,,принести плоды
,,ברענגען אויף דער וועלט,,произвести
,,ברענגען אַ ביישפּיל,,привести пример
,,דער מדרש [מעדרעש] ברענגט,,в ¼идраше
,,l ברענגען אין,,приводить в... (какое-л.
,,ברענגען אין אָ^רדענונג,,привести
,,l ברענגען צו,,приводить к... (быть
,,l ברענגען אויף זיך,,навлекать на себя
,,l ברענגען צו רייד,,"поднимать (тему,"
,,ברענגער מ ־ס (וו ־ין),,"податель,"
,,ברענהאָלץ ז,,дрова
,,ברענ׀ען (געברע^נט),,1. гореть
,,עס ברענט!,,"пожар!, горим!"
,,ברענען פאַר כּעס [קאס],,кипеть/пылать/
,,עס ברענט ניט,,это не к спеху
,,וואָס ברענטЯ,,"почему такая спешкаЯ,"
,,די זון ברענט,,"солнце (так и) жжёт,"
,,דער פראָסט ברענט,,мороз трещит
,,דער יקרות [יאקרעס] ברענט,,цены
,,"6.:
",,מע זאָל אים (אַפילו [אפילע]) ברענען
,,און בראָטן,,хоть режь его на куски
,,אַ ברען טאָ׀ן* אק.,,вызвать досаду/
,,ברענען ציגל,,обжигать кирпич
,,ברע^נענדיק א,,"1. горящий, пылающий"
,,ברע^נעניש ז,,1. жжение (ощущение)
,,ברענפּונקט מ ־ן,,"очаг, фокус перен."
,,ברענשטאָף מ ־ן,,"горючее вещество,"
,,ברעקל ז ־עך,,"1. крошка; кроха, крупица"
,,אַ ברעקל שטעטל,,крошечное местечко
,,ברע^קלדיק א,,"ломкий, хрупкий,"
,,ברעקל׀ען (געברעקלט),,крошить
,,ברעקלען זיך,,"1) крошиться, рассыпаться"
,,בר־פּלוגתּא [בארפּלוקטע] מ ־ס,,противник
,,בשוגג [בעשויגעג] אדוו.,,"неумышленно,"
,,"בשום־אופן [בעשו^ם־אוי^פן]... ניט אדוו.
",,"никак не, вовсе не, отнюдь не,"
,,בשׂורה [פּסורע] וו (מצ. בשׂורות),,"весть,"
,,"בשׂורה־טובה [פּסורעטויווע] וו
",,(מצ. בשׂורות־טובות [פּסורעס־טוי^וועס])
,,"בשׂורה־רעה [פּסורעראָע] וו
",,(מצ. בשׂורות־רעות [פּסורעס־ראָ^עס])
,,בשותּפות [בעשוטפעס] אדוו. (מיט),,"совместно,"
,,בשותּפותדיק [בעשו^טפעסדיק] א,,"общий,"
,,"בשכנות [בישכיינעס] אדוו. (מיט)
",,по соседству/рядом (с...)
,,בשלום [בעשאָלעם] אדוו.,,"1. в мире, мирно"
,,דאָס פּאָרפאָלק לעבט זיך בשלום,,супруги
,,בשלום דערפאָרן,,благополучно доехать
,,בשלמות [בישליימעס] אדוו.,,"совершенно,"
,,בשם־אומרו [בעשעמאָמרע] אדוו.,,со ссылкой
,,בשׂמים [פּסאָמים] מצ.,,1. пряности
,,"בשׂמים־ביקסל [פּסאָ^מים־] ז ־עך
",,снабжённая отверстиями коробочка
,,בשׂמימדיק [פּסאָ^מימדיק] א,,"ароматный,"
,,"בשן־ועין [בעשיי^ן־וועאיי^ען] אדוו.:
",,ארוי^ס׀גיי׀ן* בשן־ועין	сильно пострадать
,,"בשעתּו [בעשאטע, בעשייטע] אדוו.",,в своё
,,בשעתּם [בעשאטעם] אדוו.,,в своё время
,,בשעת [בעשא^ס] 1. פּרעפּ.,,во время
,,בשעת [בעשא^ס] 2. בינדוו.,,в то время как/
,,בשעת ווען,,"в то время как, тогда как"
,,"בשעת־הדחק [בעשאסאטכא^ק] אדוו.
",,в случае крайней необходимости
,,"בשעת־מעשׂה [בעשאסמייסע] אדוו.
",,"1. в (э)то время, в (э)тот момент (пока"
,,"ער אַרבעט און בשעת־מעשׂה זינגט ער
",,אַ ליד	он работает и при этом напевает
,,"בשפע [בעשעפע] א פּרעד., אדוו.",,обильно;
,,"בשׂר־ודגים [באָסער־וועדאָ^גים] מצ.:
",,"עס׀ן בשׂר־ודגים	есть и мясо, и рыбу"
,,אַ פּראָסט׀ער בשׂר־ודגים,,шутл. простой
,,בשׂר־ודם [באָסערוועדאָ^ם] מ ־ס,,человек
,,בשׂר־קווי^טש [באָסער־] ז,,шутл. свинина
,,בשתּיקה [בישטיקע] אדוו.,,"молча, не говоря"
,,בת [באס] העפל. + וו,,дочь
,,דינה בת יעקב [דינע באס יאנקעוו],,"´ина,"
,,בת־היענה [באס(א)ייינע] וו ־ס,,страус
,,בתוכם [בעסויכעם] אדוו.,,в том числе
,,אַלע קינדער און דו בתוכם,,"все дети, в том"
,,בתולה [פּסולע] וו (מצ. בתולות),,девушка
,,בתולהשאַפט [פּסו^לעשאפט] וו,,невинность
,,"בתּופּים־ובמחולות [בעטופּים־אוּווימכוי^לעס]
",,"אדוו.	торжественно, с ликованием"
,,בּתּורת [בעטוירעס] פּרעפּ.,,"в виде,"
,,איר קריגט דאָס בתּורת באַלוינונג,,вы
,,"בת־יחידה [באסיעכידע] וו (מצ. בת־יחידות,
",,דימ. בת־יחידקע [באסיעכיטקע])
,,בתּים [באטים] מצ.,,собственно коробочки
,,"בתּכלית־ה.. [בעטאכלעס־הא..]
",,(с) крайним...
,,"פיינט האָב׀ן* בתּכלית־השׂינאה [..סי^נע]
",,сильно/смертельно/всеми фибрами
,,בתּמידות [ביטמידעס] אדוו.,,"постоянно,"
,,בתּמיה [ביטמיִע] אדוו.,,"удивлённо,"
,,בתּמימות [ביטמימעס] אדוו.,,"наивно,"
,,"בתּמימותדיק [ביטמי^מעסדיק] 1. א
",,"наивный, простодушный; честный,"
,,"בתּמימותדיק [ביטמי^מעסדיק] 2. אדוו.
",,"наивно, простодушно; честно,"
,,"בת־מיצווה [באסמיצווע] וו (מצ. בת־מיצוות)
",,"±ат-мицва, вступление"
,,"בת־מלכּה [באסמאלקע] וו (מצ. בת־מלכּות)
",,принцесса (обычно в фольклоре);
,,בתּנאַי [ביטניי^] (אַז) בינדוו.,,с условием/
,,בת־קול [באסקאָל] ז ־ן,,вещий голос
,,בתּשובה [ביטשוּווע] אדוו. (אויף),,в ответ на...
,,"
",,
,,"ג
",,
,,"ג [גימל] מ, וו",,третья буква еврейского
,,ג = גראַם,,грамм
,,"גאָב וו, מ ־ן",,дар; благо
,,גאָטס גאָב,,божий дар
,,געב׀ן* דאט. אַ גאָב,,задать кому-л.
,,כאַפּ׀ן אַ גאָב,,получить (подвергнуться
,,גאַבאַרדי^ן מ ־ען,,габардин
,,גאָבעלע^ן מ ־ען,,гобелен
,,גאַגאַ^ט מ,,"гагат, чёрный яхонт"
,,גאָגאָטשע׀ן (גאָגאָטשעט),,гоготать
,,גאָגל־מאָ^גל מ ־ען,,гоголь-моголь
,,גאָ^געלעך מצ.,,перловая крупа
,,גאָ^גער׀ן (געגאָגערט),,гоготать
,,גאווה [גייווע] וו,,"гордость, важность,"
,,גאווהדיק [גיי^וועדיק] א,,"горд(елив)ый,"
,,גאַווניאַ^ק [ня] מ ־עס,,груб. никчёмный
,,גאַווענדזע׀ן (גאַווענדזעט),,болтать
,,גאַווענדע וו ־ס,,болтовня
,,מאַכ׀ן גאַווענדעס (מיט),,"болтать, точить"
,,גאַווער מ,,слюна; пена (у рта)
,,גאַ^ווער׀ן (געגאַווערט),,пускать слюну
,,גאַווראָן מ ־עס,,"дурак, болван, олух"
,,גאולה [געולע] וו,,"спасение, избавление,"
,,גאָון [גאָען] מ (מצ. גאונים [געוינים]),,1. гений
,,"(1720–1797)
",,מתנגדות ;ווילנער см. тж.
,,ניט זיין* קיין גאָון,,не хватать звёзд
,,גאוניש [געויניש] א,,гениальный
,,גאַז מ ־ן,,"1. газ, газообразное вещество"
,,גאזאָווניע [не] וו ־ס,,газовый завод
,,גאַ^זמאַסקע וו ־ס,,противогаз; маска
,,גאַז_ן א,,газовый текст.
,,גאַזע ¹ וו ־ס,,газ (ткань)
,,גאַזע ² וו,,керосин
,,גאַזע^ט מ ־ן,,газета
,,גאַזשע וו,,"заработная плата, зарплата"
,,גאָט 1. מ,,±ог (в иудаизме
,,"גאָט צו דאַנקען, דאַנקען גאָט",,слава ±огу
,,גאָט העלף!,,1) ±ог в помощь!
,,גאָט איז מיט דיר/אייך!,,±ог с вами!
,,גאָט מיינער!,,боже (мой)!
,,ווי גאָט איז דיר ליב!,,"ради бога, ради"
,,זיין* גאָט די נשמה [נעשאָמע] שולדיק,,быть
,,אָן גאָט אין האַרצן,,без зазрения совести
,,צו גאָט און צו לייט,,хороший со всех
,,ווי גאָט האָט געבאָטן,,"должным образом,"
,,"""גאָט פון אברהם [אווראָ^ם]""",,«±ог
,,"גאָט 2. מ (מצ. געטער, ־ן)",,"бог, божество"
,,גאָטהייט וו ־ן,,божество
,,"גאַטונג וו ־ען זען גאַטוניק
",,"גאַטוניק מ ..נקעס	вид, род, сорт; порода"
,,גאָטזאַך וו ־ן,,божий промысел; божья
,,גאָ^טיכע וו ־ס,,богиня
,,גאָטיש א,,готический
,,גאָטלאָז א,,"безбожный, нечестивый"
,,גאָטס געזעגנס ז,,"чуд(ов)ище, урод"
,,גאָטסדינסט ז ־ן,,богослужение
,,"גאָ^טספאָרכטיק א, אדוו.",,"богобоязненный,"
,,גאָ^טעניו [ню] אינט.,,"боже!, боже (ты)"
,,גאַטקעס מצ.,,"кальсоны, подштанники"
,,גאַל וו,,1. жёлчь
,,אַ מענטש אָן אַ גאַל,,"спокойный,"
,,שלאָג׀ן (דאט.) צו דער גאַל,,вызывать
,,ס'קערט שוין דערפו^ן די גאַל,,от этого
,,מע דאַרף צו אים האָבן אַ גאַל,,чтобы иметь
,,גאָל 1. א,,"1. обнажённый, оголённый;"
,,אַ גאָל׀ער גאָרנישט,,полное ничтожество
,,גאָל 2. אדוו.,,наголо
,,גאַלאַגאַ^ן מ,,род петуха
,,"גאָלאָוואַ^ מ ־ען, ־עס",,(городской) голова
,,"גאַלאַ^נט א, אדוו.",,галантный; галантно
,,גאַלאַנטאָ^ן מ ־ען,,"щёголь, франт; кавалер"
,,"גאַלאַנטעריי^, גאַלאַנטעריע וו",,галантерея
,,גאַלאָ^פּ 1. אדוו.,,галопом
,,גאַלאָ^פּ 2. מ,,галоп
,,גאַלאָפּיר׀ן (גאַלאָפּי^רט),,"скакать, нестись"
,,גאַלאָ^ש מ ־ן,,"галоша, калоша"
,,גאַלגאַן מ ־עס,,"мерзавец, негодяй, подлец,"
,,"גאַלגאַנסק׀ער האָן מ זען גאַלאַגאַן
",,גאָלד ז	золото прям. и перен.
,,מיין גאָלד,,"моё золото (о дорогом,"
,,מיט גאָלד גלייך,,на вес золота
,,"אמת [עמעס]/זיכער/ריכטיק ווי גאָלד
",,совершенно верно/точно; как пить дать
,,גאָ^לדדראָסל מ ־ען,,иволга
,,גאָלדוואַרג ז,,"золотые изделия, золото"
,,גאָלד_ן א,,золотой прям. и перен.
,,גאָלדשמיד מ ־ן,,золотых дел мастер
,,גאָלדשניט מ ־ן,,золотой обрез (книги)
,,"גאָ^לדשפּינער מ =, ־ס (וו ־ין)",,шутл.
,,"גאַלוואַניזיר׀ן (גאַלוואַניזי^רט)
",,гальванизировать
,,גאַליאָרקע וו ־ס,,галёрка
,,גאַליפע^(־הויזן) מצ.,,галифе
,,גאַליציאַנער 1. א אינוו.,,галицийский
,,"גאַליק א, אדוו.",,"жёлчный, злой, едкий,"
,,גאָליש מ ־עס,,чернильный орешек
,,"גאָ^למעסער מ, ז ־ס",,бритва
,,"גאָ^למעסערל ז ־עך (דימ. פון גאָלמעסער)
",,лезвие (для бритья)
,,גאָל׀ן (געגאָ^לט),,брить
,,גאָלע א אינוו.,,"только, сплошь,"
,,גאָלע לעכער,,сплошные дыры
,,גאָלע נאַראָנים,,одни дураки
,,גאָלע פינפן,,одни/круглые пятёрки
,,גאָלע גאָרנישט,,сущие пустяки
,,"גאָלער מ =, ־ס",,"парикмахер, брадобрей"
,,גאַלעריע וו ־ס,,галерея; (верхний ярус
,,"גאָלעש מ ־עס זען גאָליש
",,גאַ^לפּענכער מ ־ס	анат. жёлчный пузырь
,,גאָלף מ,,спорт. гольф
,,גאַלקע וו ־ס,,1. баллотировочный шар
,,"3.:
",,מאַכן אַ גאַלקע шутл. напиться
,,גאַ^לשטיינער מצ.,,жёлчные камни
,,גאָמבע וו ־ס,,подбородок
,,גאָ^מלקע וו ־ס,,1. кусок свежеоткинутого
,,גאַמע וו ־ס,,гамма муз. и перен.
,,גאָמקע וו ־ס,,губка (животное
,,גאַנג מ (מצ. גענג),,"1. хождение, ход, ходьба"
,,פאַר איי^ן גאַנג,,"одновременно, попутно,"
,,שיק׀ן אַ גאַנג,,посылать с поручением
,,גיי׀ן*/פאָלג׀ן אַ גאַנג,,идти по поручению
,,(ס'איז) פאָלג מיך אַ גאַנג!,,1) на краю
,,אין גאַנג,,на ходу; в действии
,,זיין* אין פולן גאַנג,,"идти полным ходом,"
,,לאָז׀ן אין גאַנג,,1) приводить
,,אַ גאַנג גמרא [געמאָרע],,полный комплект
,,גאַנגבאַר א,,"ходовой, ходкий; ходячий,"
,,אַ גאַנגבאַר׀ע סחורה [סכוירע],,ходкий/
,,אַ גאַנגבאַר׀ער אויסדרוק,,ходкое/ходовое/
,,גאַ^נג־וועגעלע ז ־ך,,колясочка
,,גאַנגרע^ן וו ־ען,,гангрена
,,"גאַנדז וו (מצ. גענדז, דימ. גענדזל)",,гусь;
,,גאָנטע וו ־ס,,гонт
,,גאַניק מ ־עס,,1. крыльцо
