Base,Romanized,Yiddish,Gloss,Definition
,,געקאַ^רבט א,,зазубренный
,,געקווייטלט א,,"цветистый, узорчатый"
,,ניט געקוקט אויף,,несмотря/невзирая
,,געקי^לט א (פּארט. פון קילן),,охлаждённый;
,,געקינצלט 1. א,,"1. искусственный,"
,,געקינצלט 2. אדוו.,,"искусственно,"
,,געקלאַפּער ז,,стук; постукивание
,,געקליגלט א,,мудрёный
,,געקני^פּט און געבונד_ן א,,тесно
,,געקע^כטס ז ־ן,,похлёбка; варево
,,געקעסטלט א,,"клетчатый, в клетку"
,,געקרי^ג ז ־ן,,"скандал, ссора"
,,געקרייזלט א (פּארט. פון קרייזלען),,"волнистый,"
,,געראָט_ן 1. א,,удачный
,,געראָטענע קינדער,,красивые дети;
,,געראָטן אין,,похожий на...
,,געראָטן זיין אין,,"быть похожим, походить"
,,ער איז געראָטן אין דער מאַמען,,он
,,געראָט׀ן 2. (איז געראָטן),,удаваться
,,דער קוכן איז איר געראָטן,,пирог ей
,,עס איז געראָטן זי צו געפינען,,удалось её
,,געראָ^טנקייט וו ־ן,,удачность
,,געראַ^ם 1. א,,"просторный, свободный,"
,,געראַ^ם 2. אדוו.,,"свободно, просторно"
,,געראַנגל ז ־ען,,"борьба, схватка,"
,,געראַניום [нью] מ ־ס,,герань
,,גערגל ז ־עך (דימ. פון גאָרגל),,горлышко;
,,גערודער ז,,"шум, гам; тревога, суматоха,"
,,גערוי^ש ז ־ן,,"шум, звук, голос; гул;"
,,"גערו^ך ז, מ ־ן",,запах
,,גערונצלט א,,морщинистый; сморщенный
,,גערטנעריי^ ז,,садоводство;
,,געריב_ן א,,"тёртый, бывалый; хитрый,"
,,"געריי^ד ז ־ן, געריידעריי^ וו ־ען",,разговор;
,,גערי^כט ¹ ז ־ן,,"блюдо, кушанье"
,,גערי^כט ² ז ־ן,,суд (учреждение; судебное
,,ד׀אָס העכסט׀ע געריכט,,²ерховный суд
,,שטעל׀ן צום געריכט,,подавать на кого-л.
,,"געריכטלעך א, אדוו.",,"судебный; судом,"
,,"גערי^כט־שרייבער מ =, ־ס",,судебный
,,גערי^מט א,,"известный, прославленный"
,,גערי^פּסט א,,"1. трубчатый, полый"
,,גערי^רט א,,"тронутый, растроганный;"
,,גערירט (פון זינען),,"тронутый,"
,,גערמאַניש א,,германский
,,גערן אדוו.,,охотно; с охотой/
,,l זיין* גערן בייזאץ,,быть довольным
,,ער איז גערן צו אינפ.,,он рад/готов что-л.
,,איך בין גערן צו וויסן,,хотел(а) бы я
,,l האָב׀ן* גערן,,"любить кого-л., питать"
,,גע^רן־וויליק א,,"готовый, согласный;"
,,גערע^דט א,,"1. разговорный, устный"
,,גערע^טעניש ז ־ן,,1. урожай; сбор
,,גערע^כט 1. א,,1.:
,,זיין* גערעכט,,быть правым (правильно
,,געב׀ן* דאט. גערעכט,,признавать чью-л.
,,קעמפן פאַר אַ גערעכטער זאַך,,бороться
,,גערעכט׀ער צאָרן,,справедливый гнев
,,אַ גערעכט׀ע פאָ^דערונג,,справедливое
,,גערע^כט 2. אדוו.,,справедливо
,,גערעכטיק א,,"справедливый, праведный;"
,,גערע^כטיקייט וו,,1. справедливость;
,,גערע^ם ז ־ען,,каркас; рам(к)а
,,גערשט מ ־ן,,1. ячмень; ячменное зерно
,,גערשט_ן 1. א,,ячменный; ячневый
,,"גערשטן 2. מ, מצ.",,ячмень
,,געשאַ^נק ז ־ען,,подарок; дар;
,,געשאָס_ן א (פּארט. פון שיסן),,застреленный;
,,געשוואָל_ן א,,"опухший, распухший;"
,,געשוואָלן ווער׀ן,,"пухнуть, опухать,"
,,אַ געשוווירענ׀ער שׂונא [סוינע],,заклятый
,,געשוווי^רענ׀ער מ דעק.,,присяжный
,,"געשווילעכץ ז ־ן, ־ער",,опухоль
,,געשווי^נד אדוו.,,"быстро, скоро; проворно;"
,,געשווינדקייט וו,,"быстрота,"
,,געשווי^ר ז ־ן,,"1. нарыв, гнойник; абсцесс"
,,געשוועל׀ן (איז געשוועלן) דאט.,,ирон.
,,"געשטאַ^לט ז, וו ־ן",,"1. вид, облик; образ;"
,,געשטאַלטיק א,,"хорошо сложённый,"
,,געשטאַ^לטיק׀ן (געשטאַלטיקט),,придавать
,,געשטאַ^נק ז ־ען,,"смрад, зловоние, вонь"
,,געשטודי^רט א,,"образованный,"
,,געשטופּלט א,,"1. изрытый оспой; рябой,"
,,געשטיי^ן ¹ ז ־ען,,скопление камней/скал;
,,געשטיין אַנטקעגן דאט.,,"не поддаваться,"
,,געשטיין פאַר,,"стоить кого-л., чего-л.,"
,,געשטי^מט א,,настроенный (имеющий
,,גוט/שלעכט געשטימט,,хорошо/дурно
,,l געשטימט צו אינפ.,,настроенный на
,,געשטי^קט א (פּארט. פון שטיקן ² ),,вышитый
,,געשטע^ל ז ־ן,,"подставка, стойка,"
,,געשטע^לט א,,"поставленный,"
,,געשטערן ז ־ס,,созвездие
,,געוואָרן),,"1. оступаться, спотыкаться"
,,געשטריי^פט א,,полосатый
,,געשיי^ט א,,"(раз)умный, смышлённый,"
,,געשיכטלעך א,,исторический
,,געשיכטע וו ־ס,,история
,,"געשי^קט א, אדוו.",,"ловкий, проворный;"
,,געשיקט׀ער מ דעק.,,посланник
,,געשיקטקייט וו,,"ловкость, проворность,"
,,געשיק׀ן זיך (געשי^קט זיך),,1. годиться;
,,געשיקט זיךЯ,,возможно лиЯ
,,ווי געשיקט זיך עסЯ,,как это возможноЯ
,,געשי^ר ז,,посуда
,,געשלידער ז,,"1. упряжь, сбруя, запряжка"
,,געשלי^דערעכץ ז ־ן,,средство от дурного
,,געשליפ_ן א,,1. шлифованный; гранёный
,,האַב׀ן* אַ געשליפן צינגל,,иметь бойкий/
,,געשלע^ג ז ־ן,,"драка, схватка, потасовка"
,,געשלע^כט ז ־ער,,пол биол.
,,געשלע^כט..,,половой биол.
,,געשלעכטגלידער,,половые органы
,,געשלעכטלעך א,,половой; сексуальный
,,געשלענגלט א,,извилистый; волнистый
,,געשמאַ^ק 1. א,,вкусный; аппетитный;
,,געשמאַ^ק 2. אדוו.,,1. вкусно
,,געשמאַ^ק 3. מ ־ן,,вкус
,,[שמאדן]),,перешедший в другую веру
,,ערגער ווי געשמדט,,"очень дурной, хуже"
,,געשמיידיק 1. א,,"живой, быстрый,"
,,געשמיידיק 2. אדוו.,,"быстро, шустро"
,,געשמייע דיר פאַר פול!,,я смеюсь
,,געשמי^לץ ¹ ז ־ן,,жир (пищевой)
,,געשמי^לץ ² ז,,бусы; бисер
,,געשמי^רט א,,смазанный (покрытый
,,ווי געשמירט,,как по маслу
,,געשמע^לץ ז ־ן,,сплав (металлов)
,,געשני^ץ ז ־ן,,"резьба (рисунок, узор"
,,געשעדיקט א,,"1. испорченный,"
,,געשע^_ן 2. א,,свершившийся
,,געשענקטע טעג,,бабье лето
,,געשענקטע יאָרן,,годы жизни сверх
,,געשע^עניש ז ־ן,,событие; происшествие
,,געשע^פט ז ־ן,,"1. дело, занятие (обычно"
,,פיר׀ן/טרייב׀ן געשעפט,,вести (торговое)
,,געשע^פט..,,"деловой, коммерческий"
,,געשעפטלעך 1. א,,деловой (относящийся
,,געשעפטלעכע באַציִ^ונגען,,деловые связи
,,אַ געשעפטלעכ׀ער בריוו,,деловое письмо
,,געשעפטלעך 2. אדוו.,,по делу
,,געשפּאַ^ן ז ־ען,,"1. сбруя, упряжь"
,,געשפּאַנטע באציִ^ונגען,,напряжённые/
,,געשפּע^ט ז,,"насмешка, издевательство,"
,,"געשפּע^נסט ז ־ן, ־ער",,"призрак,"
,,געשפּרע^ך ז ־ן,,"разговор, беседа"
,,געשפּרענקלט א,,в крапинку; крапчатый
,,געשריי^ ז ־ען,,крик
,,געשרי^פט(ס) ז ־ן,,1. документ
,,"גראָב א, אדוו. (קאָמפּ. גרעבער)",,1. толстый
,,גראָב׀ער פינגער,,большой палец
,,גראָב׀ער קאָפּ,,"тупица; дурак, осёл"
,,"גראָ^באייזן ז, מ ־ס",,"лопата, заступ"
,,גראָ^בהויטיק א,,толстокожий прям.
,,"גראָביאַ^ן מ ־ען, ־עס (וו ־קע)",,грубиян;
,,גראָביאַנסקע א,,"грубый (невежливый,"
,,גראַבליע וו ־ס,,ед. и мн. грабли
,,גראַ^בליעווע׀ן (געגראַ^בליעוועט),,грести
,,גראַבל׀ען (געגראַבלט),,скрести
,,גראַבלען זיך (אויף),,"взбираться,"
,,גראָבן 1. מ ־ס,,ров; канава
,,גראָב׀ן 2. (געגראָבן),,"копать, рыть"
,,גראָבן זיך אין,,"рыться, копаться в..."
,,גראָבקייט וו ־ן,,"грубость, дерзость;"
,,גראַגער מ ־ס,,трещотка
,,גראַ^גער׀ן (געגראַגערט),,1. издавать звуки
,,גראַד מ ־ן,,1. градус
,,געמיינ׀ער גראַד,,простое сословие/звание
,,גראָד 1. א,,"1. прямой, ровный"
,,אַ גראָד׀ע ליניע,,прямая/ровная линия
,,אַ גראָד׀ער ווינקל,,прямой угол
,,גראָד 2. אדוו.,,"1. именно, как раз"
,,גראָד דעמאָלט,,именно/как раз тогда
,,גראָד דאָ,,именно/как раз здесь
,,פאַר וואָס גראָד איךЯ,,почему именно яЯ
,,גראָד פאַרקע^רט,,как раз наоборот
,,געהאַ^ט,,спичек у него не оказалось
,,נאַכט,,ночь выпала тёмная
,,גראַדאָנאַטשאַלניק מ ־עס,,ист.
,,גראַדאַציע וו ־ס,,градация
,,גראָ^דליניק א,,прямолинейный прям.
,,גראָדע וו ־ס,,мат. прямая
,,גראָדעק מ ־ן,,прямоугольник
,,גראַוויו^ר וו ־ן,,гравюра
,,גראַוויר׀ן (גראַווי^רט),,"гравировать, резать,"
,,גראַווירער מ ־ס,,"гравёр, резчик"
,,"גראָז ז ־ן, גרעזער",,трава
,,גראָזיק א,,травяной; травянистый
,,גראַטוליר׀ן (גראַטולי^רט),,поздравлять
,,גראָטע^סק 1. מ ־ן,,гротеск
,,גראָטע^סק 2. א,,гротескный
,,גראַטקע וו ־ס,,полка/шкафчик для посуды
,,"גראַטש מ ־ן, ־עס",,1. горячий/
,,גראַטשקע וו ־ס,,"горячка перен., спешка"
,,גראָ^כ(אָ)ווינע וו ־ס,,гороховая солома
,,גראַם ¹ מ ־ען,,рифма; мн тж. стихи
,,גראַם ² מ ־ען,,грамм
,,גראַמאַטיק וו ־עס,,грамматика
,,גראַמאַ^טיקער מ ־ס,,грамматист
,,גראַמאַטיש א,,грамматический
,,גראַ^מאָטנע א,,грамотный (умеющий
,,גראַמאָפאָ^ן מ ־ען,,граммофон
,,גראַמ׀ען (געגראַ^מט),,рифмовать
,,גראַמען זיך,,рифмоваться
,,גראַם־שטראַ^ם מ,,"плохие стихи,"
,,גראַם־שטראַם מאַך מיר אַ לעטניק!,,набор
,,גראַנאַ^ט ¹ מ ־ן,,гранат (камень)
,,גראַנדיע^ז [дье] א,,грандиозный
,,גראַנדיעזקייט [дье] וו,,грандиозность
,,גראַני^ט מ,,гранит
,,גראַניט_ן א,,гранитный
,,גראַ^נעט(_ן) א,,тёмно-синий
,,גראַף מ ־ן,,граф
,,גראַפאָמאַ^ן מ ־ען,,графоман
,,גראַפאָמאַניע [нье] וו,,графомания
,,גראפי^ט מ,,графит
,,גראַפיניע [не] וו ־ס,,графиня
,,גראפינקע וו ־ס,,графин
,,גראַפיק 1. וו,,графика
,,גראַפיק 2. מ ־ן,,"график, кривая"
,,גראַפיק 3. מ ־עס,,"график, расписание"
,,"גראַפיש א, אדוו.",,графический; графически
,,גראַציע וו ־ס,,грация
,,"גראַציע^ז א, אדוו.",,грациозный; грациозно
,,גראַציעזקייט וו,,"грация, грациозность"
,,גראַ^שיצע וו ־ס,,«сладкое мясо»
,,גראָשן 1. מ ־ס,,1. грош (старинная
,,אַ שיינ׀ער גראָשן,,"копейка, копеечка"
,,גראָ^שנדיק א,,1. ценой в один грош
,,גרגרת [גארגערעס] וו,,"горло, глотка;"
,,קריכ׀ן דאט. אין דער גרגרת,,действовать
,,גרוב 1. וו ־ן,,"рудник, копи; прииск"
,,"גרוב 2. מ, וו (מצ. גריבער, דימ. גריבל)",,1. яма;
,,גראָב׀ן אַ גרוב אויף,,рыть могилу кому-л.
,,גרודע וו ־ס (דימ. גרודקע וו),,"ком (земли),"
,,גרוז ¹ מ,,щебень; гравий
,,גרוזאָווטשיק מ ־עס,,грузоотправитель
,,גרוזיניש 1. א,,грузинский
,,גרוזיניש 2. ז,,грузинский язык
,,"גרוזינער מ = (וו ־ין, ..נקע)",,грузин
,,גרו^זע(ווע)׀ן (געגרו^זע(ווע)ט),,грузить
,,גרוי א,,серый; седой; сивый
,,גרויזאַם א,,"жестокий, лютый, свирепый"
,,גרויל מ ־ן,,"1. ужас, страх, жуть"
,,גרויליק א,,"ужасный, страшный, жуткий;"
,,אַ גרויליק׀ע קאַטאַסטראָפע,,ужасная/
,,אַ גרויליק׀ע טאַט,,ужасный/безобразный/
,,גרויס ביי זיך,,"гордый, важный,"
,,אַזוי^ גרויס ווי,,ровным счётом
,,דע׀ר גרויס׀ער ברודער,,старший брат
,,גרויס..,,1. великий (в титулах)
,,גרויספירשט,,великий князь
,,גרויס־תּל־אביב [־טעלאווי^וו],,большой
,,דע׀ר גרויס׀ער בער,,±ольшая ¼едведица
,,גרוי^סאַרטיק 1. א,,"великолепный,"
,,גרוי^סאַרטיק 2. אדוו.,,великолепно;
,,"גרוי^סהאַלטער מ =, ־ס (וו ־קע)",,гордец;
,,גרוי^סהאַלטעריש 1. א,,"важный,"
,,גרוי^סהאַלטעריש 2. אדוו.,,"с важным видом,"
,,גרוי^סהאַנטיק א,,"прописной, заглавный,"
,,"גרוי^סהאַרציק א, אדוו.",,"великодушный,"
,,גרוי^סהאַרציקייט וו,,великодушие
,,גרויסמאַכט וו ־ן,,великая держава
,,גרויס׀ן (געגרוי^סט),,"расхваливать,"
,,גרויסן זיך (מיט),,"гордиться; хвастать(ся),"
,,גרויסקייט וו,,1. величие
,,גרוי^סשטאָטיש א,,городской
,,גרוי׀ען (געגרוי^ט),,1. сереть
,,גרויפּ וו ־ן (דימ. גרייפּל),,"зёрнышко крупы,"
,,גרויפּן מצ.,,крупа
,,גרונד מ ־ן,,"основание, повод, причина,"
,,אָן אַ גרונד,,без причины/повода/
,,גרונט מ ־ן,,"1. земля, почва, грунт"
,,גיי׀ן* צו(ם) גרונט,,"1) идти ко дну,"
,,אָן אַ גרונט,,"бездонный, неисчерпаемый"
,,אין גרונט,,в основном; в сущности
,,גרו^נט..,,"фундаментальный, основной;"
,,גרונטיק 1. א,,"1. основной, кардинальный,"
,,אַ גרונטיק׀ע פראַגע,,основной/коренной/
,,אַ גרונטיק׀ע רעפאָ^רם,,коренная реформа
,,גרונטיק 2. אדוו.,,"основательно, тщательно"
,,"גרו^נטלייגער מ =, ־ס",,"основоположник,"
,,גרונטצאָל וו ־ן,,грам. количественное
,,גרונטשטיין מ ־ער,,краеугольный камень;
,,גרוס מ ־ן (דימ. גריסקע וו),,"1. приветствие,"
,,אַ גרוס דער מומען!,,привет тёте!
,,מיט גרוס – אייער/דיין,,с приветом –
,,גרופּירונג וו ־ען,,группировка
,,גרופּיר׀ן (גרופּי^רט),,группировать
,,גרופּירן זיך,,группироваться
,,גרופּע וו ־ס (דימ. גרופּקע),,группа
,,גרושה [גרושע] וו (מצ. גרושות),,разведённая
,,גריבל ז ־עך דימ. פון גרוב 2.,,"тж. выемка,"
,,גרי^בעלע ז ־ך (דימ. 2 פון גרוב 2.),,ямочка;
,,גרי^בערדיק א,,"с ямами, в ямах;"
,,גריוון מצ.,,шкварки
,,גריוונע וו ־ס,,гривенник
,,גריווע וו ־ס (דימ. גריווקע),,грива
,,גריווקע וו ־ס (דימ. פון גריווע),,тж. чёлка
,,גריזאָטע וו,,"огорчение, досада"
,,גריזינ(י)ע [не] וו,,брюква; репа
,,גריז(ש)ע׀ן (געגריז(ש)עט),,1. грызть
,,גריזשען זיך,,"мучиться, терзаться"
,,גרייז ¹ מ ־ן,,"ошибка, неточность,"
,,גרייז ² מ ־ן,,(глубокий) старик; старец
,,גרייז גרוי,,"седовласый, убелённый"
,,גרייזיק א,,1. ошибочный
,,גרייזל ז ־עך,,локон; кудряшка;
,,גרייזל׀ען (געגרייזלט),,завивать (волосы)
,,גרייזלען זיך,,"кудрявиться, виться"
,,גרייט א,,готовый
,,מאַכ׀ן זיך גרייט,,"готовиться, собираться"
,,זיין* אויף אַלעם גרייטן,,быть на всём
,,גרייט׀ן (געגריי^ט),,готовить
,,גרייטן צום טיש,,собирать/накрывать
,,גרייטקייט וו,,готовность
,,גרייכ׀ן (געגריי^כט),,"достигать, доставать"
,,l גרייכן ביז/צו,,"простираться, тянуться"
,,גריילעך אדוו.,,"1. как раз, именно,"
,,גרייס וו ־ן,,"величина, размер"
,,גרייפּל ז ־עך (דימ. פון גרויפּ),,крупинка;
,,גרייפּלעך מצ.,,крупа
,,גרייפּפרו(כ)ט מ ־ן,,грейпфрут (плод)
,,גרייצער ¹ מ ־ס,,"штопор, пробочник"
,,"גרייצער ² מ =, ־ס",,крейцер (старинная
,,גריישל ז ־עך,,1. рубец (начальный
,,גריך מ ־ן (וו ־ין),,грек
,,גריכיש 1. א,,греческий
,,גריכיש 2. ז,,греческий язык
,,גרי^כנלאַנד אג''נ ז,,³реция
,,גריל וו ־ן,,сверчок; кузнечик
,,גרילציק א,,"трескучий; скрипучий; резкий,"
,,גרילצ׀ן (געגרי^לצט),,"резко звучать,"
,,גרילצן (דאט.) אין די אוי^ערן,,неприятно
,,גרים ¹ מ ־ען,,грим
,,גרימאַסע וו ־ס,,гримаса
,,גרימיר׀ן (גרימי^רט),,гримировать
,,גרימ׀ען (געגרי^מט),,поэт. вспыхивать
,,עס גרימט מיר אין בויך,,у меня режет/
,,גרי^מעניש ז,,"режущая боль, резь, колики"
,,גרימפּל׀ען (געגרימפּלט) (אויף),,"бренчать,"
,,גרי^מצאָרן מ,,"гнев, ярость, остервенение"
,,גרין א,,зелёный
,,גרינבלעך א,,зеленоватый
,,"גרינג 1. א, אדוו.",,лёгкий
,,אַ גרינג קוישל,,лёгкая корзинка
,,אַ גרינג פרעסטל,,лёгкий морозец
,,אַ גרינג׀ע שטראָף,,лёгкое/мягкое
,,אַ גרינג׀ע אַרבעט,,лёгкая работа
,,אַ גרינג׀ע ווע^טשערע,,лёгкий ужин
,,אַ גרינג האָבן,,лёгкие роды
,,מיט אַ גרינג האַרץ,,с лёгким сердцем
,,גרינג 2. אדוו.,,легко; без труда
,,פון דער גרינג,,легонько; слегка;
,,גרינגקייט וו,,лёгкость
,,גרי^נג׀שעצ׀ן (גרי^נגגעשעצט),,относиться
,,גרינד מ ־ן,,парша (у человека);
,,גרינדונג וו,,"основание, учреждение,"
,,גרינד׀ן (געגרי^נד(ע)ט),,"основывать,"
,,"גרינדער מ =, ־ס (וו ־ין)",,"основатель,"
,,גרינוואַרג ז,,"овощи, зелень"
,,גרינטלעך 1. א,,"1. основательный,"
,,גרינטלעכע קע^נטענישן,,солидные знания
,,גרינטלעך 2. אדוו.,,"основательно,"
,,גרינס ז ־ן,,"1. зелень (растительность,"
,,גרינ׀ען (געגרי^נט),,зеленеть
,,גרינשפּאָן מ,,ярь-медянка (краска)
,,גריס׀ן (געגרי^סט),,приветствовать;
,,גריס די מומע,,передай привет/
,,לאָז׀ן גריסן,,просить передать привет
,,גריסן זיך (מיט),,"здороваться,"
,,גריפּע וו ־ס,,грипп
,,גריף ¹ מ ־ן,,гриф (птица)
,,גריף ² מ ־ן,,гриф (музыкального
,,גריפל מ ־ען,,грифель
,,גריץ וו,,1. крупа
,,גריק_ן א,,гречневый
,,גריקע וו,,гречка
,,גרם [ג(ע)רא^ם] מ,,"книжн. причина, повод"
,,גרעב וו ־ן,,толщина; мощность (пласта)
,,גרעבליע וו ־ס,,1. плотина; запруда
,,גרעבלעך 1. א,,1. толстоватый
,,גרעבלעך 2. אדוו.,,грубовато
,,"גרעבער ¹ מ =, ־ס",,рудокоп; углекоп;
,,גרעזל ז ־עך (דימ. פון גראָז),,"травинка,"
,,גרעט ז,,бельё (приготовленное
,,גרעל א,,"1. яркий, резкий (о свете)"
,,גרעמפּליע וו ־ס,,"чесалка (для льна,"
,,פיר׀ן די גרענדע,,вершить дела(ми);
,,"גרענעץ מ, וו ־ן",,"1. граница, рубеж; грань"
,,אויף דער גרענעץ פון,,на краю/грани
,,גנבע׀נען [גאנווענען] די גרענעץ,,тайком
,,אָן אַ גרענעץ,,"безгранично, бесконечно;"
,,גרע^נעץ..,,1. пограничный
,,גרענעצוואַך,,пограничная охрана
,,גרענעצפאַל,,предельный случай
,,גרע^נעצ׀ן זיך (געגרענעצט זיך),,граничить
,,גרענעצן זיך מיט,,"1) граничить с...,"
,,גרעסער א (קאָמפּ. פון גרויס),,"больший, больше"
,,אַ גרעסער׀ע דאָזע,,крупная/значительная/
,,אַ גרעסער׀ע דערציילונג,,большой рассказ;
,,גרעפּץ מ ־ן,,отрыжка (однократная)
,,גרעפּצ׀ן (געגרע^פּצט),,иметь отрыжку;
,,גשם [געשעם] מ,,"«´ождь», молитва"
,,גשמיות [גא^שמיִעס] ז,,"1. материальность,"
,,"ד [דאלעד, דאלעט] מ, וו",,четвёртая буква
,,ד,,"знак, которым в данном словаре"
,,דאָ ¹ אדוו.,,"здесь, тут"
,,עס איז/זיינען דאָ,,имеется/имеются; есть
,,דאָ ניט לאַנג,,недавно; на днях
,,דאָ... דאָ,,то... то ...
,,דאָ און דאָ,,"там-то и там-то, в таком-то"
,,דאָ ² מ,,до муз.
,,דאָ אַרו^מ(ערט) אדוו.,,"тут, этим путём"
,,דאָבניע [не] וו ־ס,,"молот, толкач;"
,,דאָברידזיע^ן [зе] מ,,«´оброго дня» –
,,דאָברע־מזל [־מא^זל] ז,,обыкн. шутл.
,,צו מיי^ן דאָברע־מזל,,на моё счастье
,,מיטן גאַנצן דאָברע־מזל,,со всеми
,,דאגה [דייגע] וו (מצ. דאגות),,"тревога,"
,,אַ דאגה האָב איך!,,есть о чём
,,ס'איז ניט דיין באָבעס דאגה!,,(это) не твоё
,,ניט געדאגהט!,,"не беспокойся (..йтесь),"
,,דאָגמאַטיש א,,догматический
,,דאָגמע וו ־ס,,догма
,,דאָדערט אדוו.,,(именно) здесь
,,דאַוונ׀ען (געדאַוונט),,евр. молиться;
,,/מעריב [מיירעוו],,читать/произносить
,,"דאָזאָ^ר מ ־ן, ־עס",,член попечительского
,,דאָזאָרצע מ ־ס,,смотритель; надзиратель
,,דאָ^זיק׀ער א בלויז אטריב.,,(всегда
,,דער דאָזיקער מענטש,,этот человек
,,די דאָזיקע טיר,,эта дверь
,,דאָס דאָזיקע פענצטער,,это окно
,,פון דעם דאָזיקן בוך,,из этой книги
,,אין דער דאָזיקער שטאָט,,в этом городе
,,דאָזע וו ־ס,,доза
,,דאַטי^וו מ ־ן,,грам. дательный падеж
,,דאַטיר׀ן (דאַטי^רט),,датировать
,,דאַטע וו ־ס,,"дата; число, день (месяца)"
,,דאַטש מ ־ן,,"уст. шутл., неодобр."
,,דאַטשניק מ ־עס (וו ..ניצע),,дачник
,,דאַטשע וו ־ס,,дача (загородный дом
,,אויף דאַטשע,,на даче; на дачу
,,דאָיִק א,,находящийся здесь
,,"דאַך מ (מצ. דעכער, דימ. דעכל)",,крыша;
,,שטרוי^ענ׀ער דאַך,,соломенная крыша
,,אַ דאַך אי^בערן קאָפּ,,крыша над головой;
,,דאָך אדוו.,,"1. в роли частицы,"
,,אַ מענטש איז דאָך ניט קיין הונט,,человек
,,ווייסטו און דאָך שווייגסטו,,"ты знаешь, но"
,,ווייסט עס דאָך,,ты ведь/же знаешь
,,אינדערפרי^ אָן גאָרנישט ניט געגעסן,,пойду
,,דאַכטונג וו ־ען,,воображение
,,דאַכט׀ן זיך (געדאַ^כט זיך) (דאט.),,"казаться,"
,,זאָל זיך דאַכטן,,"предположим, допустим"
,,דאַכט זיך,,кажется в знач. вводн. сл.
,,דאַ^כלאָז(יק) א,,"бездомный, бескровный,"
,,"דאַ^כלקע, דאַ^כעווקע וו ־ס",,черепица
,,דאָלאָזשע׀ן (דאָלאָזשעט),,докладывать
,,דאָלאַר מ (מצ. ..אַ^רן),,доллар
,,דאָלבע׀ן (געדאָלבעט),,долбить
,,דאָליע וו ־ס,,"доля, судьба"
,,"דאָ^למעטשער מ =, ־ס",,(устный)
,,דאָמאָניק מ ־עס,,фольк. домовой
,,דאַמאַ^סק מ,,камка^ (ткань)
,,דאַמבע וו ־ס,,дамба; плотина
,,דאָ^מינאָ מ ־ס,,домино (игра)
,,דאָמינאַ^נט 2. מ,,муз. доминанта
,,דאָמיניר׀ן (דאָמיני^רט),,"доминировать,"
,,דאָמיני^רנדיק א,,"доминирующий,"
,,דאַמיש א,,дамский (как у дам)
,,דאַמסקע א,,дамский (для дам)
,,"דאַמע וו ־ס, ־ן",,дама
,,דאַ^מענ..,,дамский (для дам)
,,דאַמף מ ־ן,,пар
,,דאַמקע וו ־ס,,ед. и мн. шашки (игра)
,,דאַן אדוו.,,"тогда (в то время, о котором"
,,דאָנדיק מ ־עס,,дурак
,,דאָן־זשואַ^ן מ ־ען,,донжуан
,,פון דאַנעט,,отсюда
,,דורך דאַנעט,,"через это место, этим"
,,ביז דאַנעט,,"до сих пор, до этого места;"
,,ניט ווערב פון דאַנעט אַהי^ן,,ни в малейшей
,,ער טוט ניט פון דאַנעט אַהי^ן,,он пальцем
,,דאָ^נערשטיק 1. מ ־ן,,четверг
,,דאָ^נערשטיק 2. אדוו.,,в четверг;
,,דאָ^נערשטיקדיק א,,происходящий
,,דאַנק מ ־ען,,1. благодарность;
,,פול מיט דאַנק,,глубоко признательный
,,איבער דאַנק,,"неохотно, против воли"
,,אַ דאַנק (דיר/אייך),,спасибо (тебе/вам)
,,אַ גרויסן/שיינעם דאַנק!,,большое спасибо!
,,דאַנקבאַר א,,благодарный; признательный;
,,דאַ^נקבאַרקייט וו,,благодарность;
,,דאָן־קיכאָ^ט מ ־ן,,донкихот
,,דאַנק׀ען (געדאַ^נקט) (דאט.),,благодарить
,,דאָס 1. (דאט. דעם),,1. определённый
,,איך האָב פאַרקוי^פט דאָס הויז,,я продал
,,ער וויל דאָ^ס בוך,,он хочет эту книгу
,,דאָס 2. פּראָנ. (דאט. דעם),,это; то
,,דאָס איז מיין טאָכטער,,это моя дочь
,,דאָס זיינען מיינע טעכטער,,это мои дочери
,,דאָס און דאָס,,то-то и то-то
,,דאָס... דאָס,,то... то...
,,דאָס איז עס!,,вот так!
,,דאָס 3. פּארטיקל,,это (сосредотачивает
,,"אי^ך רעד דאָס, דאָס רעד אי^ך",,это я^
,,הערסט קלעפּЯ דאָס האַקט מען האָלץ,,ты
,,דאָס 4. מ,,эвф. 1. дурак
,,דאָסיע^ [сье] מ ־ען,,досье
,,דאָסיק א,,шутл. скверный; сомнительный
,,דאָס׀ן (געדאָ^סט),,"испражняться,"
,,דאַצ׀ן (געדאַ^צט),,обыгрывать кого-л.
,,דאָצע^נט מ ־ן,,доцент
,,דאָק מ ־ן,,док
,,דאָקומע^נט מ ־ן,,документ
,,דאָקוקע וו,,"огорчение, неприятность"
,,דאָקטאָר מ ..אָ^רן (וו ..אָ^רין),,доктор
,,דאָקטאָריע וו,,"разг. медицина,"
,,דאָקטער מ ..טוי^רים (וו ־שע),,"врач, доктор"
,,דאָקטעריי^ ז,,медицина; работа/
,,דאָ^קטער׀ן זיך (געדאָקטערט זיך),,"лечиться,"
,,דאָקטערש א,,"врачебный, докторский"
,,דאָקטרי^ן וו ־ען,,доктрина
,,דאָקלאַד מ,,приклад (вспомогательный
,,דאַר א,,"1. худой, худощавый, сухой;"
