unique	NE
גריידונג	LOC
גריידונק	LOC
גריידיג	LOC
גריידינג	LOC
גריידינק	LOC
גריידיץ	LOC
גריידיק	LOC
גריידץ	LOC
גריימסטאן	LOC
גריינדונג	LOC
גרייעוו	LOC
גרייעווא	LOC
גרייעווע	LOC
גרייפנהאגן	LOC
גרייפסוואלד	LOC
גרייפסװאַלד	LOC
גריכנלאַנד	LOC
גריליי	LOC
גרילן	LOC
גרימסבי	LOC
גרינבערג	LOC
גרינפאינט	LOC
גרינקיסיק	LOC
גרינקישאק	LOC
גרינקישאָק	LOC
גרינקישאָק	LOC
גרינקישאָק 	LOC
גרינקשיק	LOC
גרינשטאט	LOC
גרינשטאַט	LOC
גריסהאבער	LOC
גריסהאַבער	LOC
גריסינע	LOC
גריסענא	LOC
גריפא	LOC
גריצא	LOC
גריצאה	LOC
גריצייא	LOC
גריצע	LOC
גריצע 	LOC
גריצעװ	LOC
גרישוב	LOC
גרישינע	LOC
גרישינע 	LOC
גרישעוו	LOC
גרישעװ	LOC
גרישקאבוד	LOC
גרישקאַבוד	LOC
גרישקאַבוד 	LOC
גרײַדינג 	LOC
גרײדיץ	LOC
גרײַדיק	LOC
גרײַװע 	LOC
גרײפנהאַגן	LOC
גרניצה	LOC
גרעבנשטיין	LOC
גרעבנשטײן	LOC
גרעבציג	LOC
גרעבציק	LOC
גרעדינג	LOC
גרעטץ	LOC
גרעמבקאוו	LOC
גרעמבקאָװ	LOC
גרעמפקאוו	LOC
גרעניץ	LOC
גרעפסיק	LOC
גרעץ	LOC
ד. ס.	LOC
ד'דיאר	LOC
ד' וואניע	LOC
ד' ס' מיקלויש	LOC
ד' סט' מארטון	LOC
ד' סערדאהעלי	LOC
ד' פאטא	LOC
ד' פעלדוואר	LOC
דאאנד	LOC
דאָב	LOC
דאבאָװע	LOC
דאבאצע	LOC
דאָבאָצע	LOC
דאבאקע	LOC
דאַבאַקע	LOC
דאבאש	LOC
דאָבאָש	LOC
דאבואשאוויץ	LOC
דאבויץ	LOC
דאבזינסקע	LOC
דאָבזינקע	LOC
דאָבזשין 	LOC
דאָבזשינסק	LOC
דאביטשוי	LOC
דאָביטשױ	LOC
דאבייק	LOC
דאַבייק	LOC
דאָביש 	LOC
דאביש גדול	LOC
דאַבײק 	LOC
דאבנא	LOC
דאָבסע	LOC
דאָבע	LOC
דאבערשאן	LOC
דאָבערשאַן	LOC
דאבערשיץ	LOC
דאברא	LOC
דאברא גדול	LOC
דאבראהאסטעוו	LOC
דאָבראָהאָסטעװ	LOC
דאבראטאוו	LOC
דאָבראָטאָװ	LOC
דאבראטוואר	LOC
דאָבראָטװאָר	LOC
דאבראטיף	LOC
דאבראמיל	LOC
דאָבראָמיל	LOC
דאָבראָמיל	LOC
דאָבראָמיל 	LOC
דאָבראָמיסל 	LOC
דאבראן	LOC
דאָבראָן	LOC
דאָבראָן 	LOC
דאבראן, גרויס	LOC
דאָבראָן, גרױס־	LOC
דאבראן גדול	LOC
דאָבראָן גרױס־	LOC
דאָבראַני	LOC
דאָבראָני, גרױס־	LOC
דאָבראָני גרױס־	LOC
דאבראנקע	LOC
דאָבראַנקע 	LOC
דאבראסי	LOC
דאָבראָסי	LOC
דאָבראָש	LOC
דאָבראָשאָװיץ	LOC
דאברוני	LOC
דאברושקא	LOC
דאָברושקאַ	LOC
דאברי	LOC
דאָברי	LOC
דאבריהאסטיב	LOC
דאברימיהל	LOC
דאברימיל	LOC
דאברין	LOC
דאָברין	LOC
דאָברין 	LOC
דאברין, גרויס	LOC
דאָברין, גרױס־	LOC
דאברין, קליין	LOC
דאָברין, קליין־	LOC
דאברין ביי דער ווייסל	LOC
דאָברין ביי דער ווייסל	LOC
דאברין ביי דערווענצע	LOC
דאָברין בײַ דערװענצע	LOC
דאָברין גרױס־	LOC
דאָברין קליין־	LOC
דאבריסין	LOC
דאבריק	LOC
דאברישקע	LOC
דאברמיל	LOC
דאברע	LOC
דאָברע	LOC
דאָברע 	LOC
דאָברע, גױס־	LOC
דאברע, גרויס	LOC
דאָברע גױס־	LOC
דאָברעװעליטשקאָװע 	LOC
דאָברעװען	LOC
דאָברעמיל	LOC
דאברשאן	LOC
דאברשיצא	LOC
דאברשיש	LOC
דאבשוי	LOC
דאבשויא	LOC
דאבשינא	LOC
דאבשינע	LOC
דאָבשינע	LOC
דאבשיץ	LOC
דאָבשיץ	LOC
דאגדא	LOC
דאַגדע	LOC
דאַגדע 	LOC
דאדא	LOC
דאָדאָ	LOC
דאדנאד	LOC
דאדע	LOC
דאָדע	LOC
דאָהאָפּאָליע	LOC
דאהי	LOC
דאהײע	LOC
דאָהע 	LOC
דאָהערריקאַ	LOC
דאוגיילישקי	LOC
דאַוגעל 	LOC
דאווידהאז	LOC
דאווידהאראדאק	LOC
דאוויד האראדאק	LOC
דאווידעוו	LOC
דאווידעשטי	LOC
דאווידקוף	LOC
דאווידקיף	LOC
דאווידקעוו	LOC
דאווידקעוו, גרויסי	LOC
דאווידקעוו, קליין	LOC
דאווידקעף	LOC
דאַוויטקוב	LOC
דאוועטשער	LOC
דאװאק	LOC
דאַװיד־האָראָדאָק	LOC
דאַװידאָװ	LOC
דאַװידאָװקע 	LOC
דאַװידהאַז	LOC
דאַװידעשטי	LOC
דאַװידקעװ	LOC
דאַװידקעװ, גרױס־	LOC
דאַװידקעװ, קליין־	LOC
דאַװידקעװ גרױס־	LOC
דאַװידקעװ קליין־	LOC
דאװעני	LOC
דאזיק	LOC
דאטיס	LOC
דאטנאווא	LOC
דאטנעווע	LOC
דאַטנעווע	LOC
דאַטנעװע	LOC
דאַטנעװע 	LOC
דאטעווע	LOC
דאטש	LOC
דאַיאַ	LOC
דאכא	LOC
דאכוי	LOC
דאַכױ	LOC
דאלאברעד	LOC
דאַלאַטשיץ 	LOC
דאלאס	LOC
דאלגאבראד	LOC
דאָלגאָבראָד	LOC
דאלהא	LOC
דאלהינאוו	LOC
דאָלהינאָװ	LOC
דאלהינעוו	LOC
דאַלהינעװ 	LOC
דאלהע	LOC
דאָלהע	LOC
דאָלהע 	LOC
דאלהע הגר	LOC
דאלהע פולין	LOC
דאלזיטצע	LOC
דאלזשיצע	LOC
דאָלזשיצע	LOC
דאלי	LOC
דאָלי	LOC
דאליהינוב	LOC
דאליטשקוקריי	LOC
דאלינא	LOC
דאלינע	LOC
דאָלינע	LOC
דאָלינע	LOC
דאליעװ	LOC
דאלישטשוק	LOC
דאלישיצה	LOC
דאָלישעװ	LOC
דאלנא טוזלע	LOC
דאָלנאַ טוזלע	LOC
דאָלנאַ לאנקטי	LOC
דאָלני פיעל	LOC
דאלני קובין	LOC
דאלענאווע	LOC
דאַלענאָװע	LOC
דאלענווא	LOC
דאָלענע	LOC
דאלעסטעסקא	LOC
דאלעש	LOC
דאלשעוויץ	LOC
דאַלשעװיץ	LOC
דאמאטשעווע	LOC
דאָמאַטשעװע	LOC
דאמאן	LOC
דאמאני	LOC
דאָמאָני	LOC
דאָמאַנעװקע 	LOC
דאמאנץ	LOC
דאמאסלא	LOC
דאָמאָסלאָ	LOC
דאמאץ	LOC
דאַמאָץ	LOC
דאמאצעוו	LOC
דאַמאַק	LOC
דאָמאָקאָש	LOC
דאמבא	LOC
דאָמבאָ	LOC
דאמבאך	LOC
דאַמבאַך	LOC
דאמבוי	LOC
דאמבין	LOC
דאמביע	LOC
דאָמביע	LOC
דאמביצה	LOC
דאמבערשיטץ	LOC
דאמבראד	LOC
דאָמבראַד	LOC
דאמבראווא	LOC
דאמבראוויץ	LOC
דאמבראוויצע	LOC
דאמבראווע	LOC
דאמבראווע גורניטשע	LOC
דאַמבראָווע גורניטשע	LOC
דאמבראווען	LOC
דאָמבראָװיץ	LOC
דאמבראװיצע	LOC
דאָמבראָװע	LOC
דאָמבראָװע־גורניטשע	LOC
דאַמבראָװקע	LOC
דאמברווא	LOC
דאמבריוויץ	LOC
דאמברעוו	LOC
דאמברעווע	LOC
דאָמברעװ	LOC
דאָמברעװין	LOC
דאָמברעװיץ 	LOC
דאָמברעװע 	LOC
דאמבשיטץ	LOC
דאמויץ	LOC
דאמוץ	LOC
דאמיית	LOC
דאמיץ	LOC
דאַמיץ	LOC
דאַמיר 	LOC
דאמיש	LOC
דאמעץ	LOC
דאמראט	LOC
דאן	LOC
דאַן	LOC
דאנאסערדאהעל	LOC
דאנארא	LOC
דאָנדאָשאַן 	LOC
דאנדובקה	LOC
דאַנדלעב	LOC
דאניאד	LOC
דאנידיאש	LOC
דאנילאוויטש	LOC
דאניליף	LOC
דאַנילעװ	LOC
דאנערסקירכען	LOC
דאנציג	LOC
דאנציק	LOC
דאַנציק	LOC
דאנצק	LOC
דאַנצק 	LOC
דאנקוב	LOC
דאנקירא	LOC
דאנקירע	LOC
דאנקערין	LOC
דאנקערע	LOC
דאַנקערע	LOC
דאַנקערע 	LOC
דאפטשיטץ	LOC
דאפשיץ	LOC
דאקען	LOC
דאָקען	LOC
דאקעץ	LOC
דאקשיץ	LOC
דאָקשיץ	LOC
דאָקשיץ 	LOC
דאראבאן	LOC
דאַראַבאַן	LOC
דאַראַבאַן 	LOC
דאראבאני	LOC
דאראביאן	LOC
דאראג	LOC
דאָראָג	LOC
דאראגהאז	LOC
דאָראָגהאַז	LOC
דאראגמא	LOC
דאָראָגמאָ	LOC
דאראגמאן	LOC
דאָראָגמאן	LOC
דאראגמן	LOC
דאראהאי	LOC
דאָראָהאָי	LOC
דאראחוב	LOC
דאַראָץ	LOC
דאָראָץ	LOC
דאראק	LOC
דאָראָק	LOC
דארביאן	LOC
דאָרביאַן	LOC
דאָרגאָ	LOC
דארגון	LOC
דאַרגון	LOC
דארדע	LOC
דאַרדע	LOC
דארהא	LOC
דארהאי	LOC
דארהוי	LOC
דארהיטשין	LOC
דארואוואר	LOC
דאַרואװאַר	LOC
דארויטץ	LOC
דאריבראטיף	LOC
דאריג	LOC
דאריכיװקע	LOC
דאָריסק	LOC
דארכוי	LOC
דאָרכױ 	LOC
דאָרמאָנד	LOC
דאַרמאַנעשט 	LOC
דארמויל	LOC
דארמשטאט	LOC
דאַרמשטאַט	LOC
דארנא	LOC
דאָרנאַ	LOC
דאָרנא־װאַטרע	LOC
דארנאך	LOC
דאָרנאַך	LOC
דאָרנבאַך	LOC
דארנע	LOC
דאָרנע 	LOC
דארפאט	LOC
דאָרפּאַט	LOC
דארפלוס	LOC
דאָרפלוס	LOC
דארשונישאק	LOC
דאַרשונישאָק	LOC
דאַרשונישאָק 	LOC
דאשאווקע	LOC
דאַשאָװקע	LOC
דאשאפקע	LOC
דאשוב	LOC
דאשיב	LOC
דאשיעוו	LOC
דאשעוו	LOC
דאַשעװ	LOC
דאַשעװ 	LOC
דאַשקאָװקע 	LOC
דבובה	LOC
דבוז'אץ	LOC
דבוז'ץ	LOC
דבליאצ'ה	LOC
דבענק	LOC
דברצן	LOC
דובאווע	LOC
דובאָװע 	LOC
דובאסאר	LOC
דובאָסאַר	LOC
דובאָסאַר 	LOC
דובז'ין על נהר דריוצה	LOC
דובז'ין על נהר ויסלה	LOC
דוביוק	LOC
דוביטשאן	LOC
דוביטשאַן	LOC
דוביטשאני	LOC
דוביינקה	LOC
דובינאווע	LOC
דובינאָווע	LOC
דובינה	LOC
דוביניק	LOC
דוביניק 	LOC
דובלין	LOC
דובליסקע	LOC
דובלען	LOC
דובנא	LOC
דובנא רבתי	LOC
דובנע	LOC
דובסאר	LOC
דובסארי	LOC
דובע	LOC
דובעטשנע	LOC
דובעלן	LOC
דובענקא	LOC
דובענקי	LOC
דובעצק	LOC
דובערנא	LOC
דובצ'נו	LOC
דובקע	LOC
דובקעס	LOC
דובראוונע	LOC
דובראווע	LOC
דובראווקע	LOC
דובראָװנע	LOC
דובראָװנע 	LOC
דובראַװע	LOC
דובראָװע	LOC
דובראָװע 	LOC
דובראָװקע	LOC
דובראָװקע 	LOC
דובראקע	LOC
דובראָקע	LOC
דוברה	LOC
דוברובה	LOC
דוברובנה	LOC
דוברובנו	LOC
דוברוטבור	LOC
דוברי	LOC
דוברינש	LOC
דובריקע	LOC
דוברע	LOC
דובשינא	LOC
דוגאלישוק	LOC
דוגע טאניע	LOC
דוגעלישאָק 	LOC
דודלעב	LOC
דוואהרט	LOC
דוואורט	LOC
דוואזדאווקי	LOC
דווארט	LOC
דוואריץ	LOC
דווארעץ	LOC
דווארץ	LOC
דווידקוף	LOC
דווידקעף	LOC
דוויטקיב	LOC
דווייא	LOC
דווינסק	LOC
דוועטשער	LOC
דווענישאק	LOC
דווענעסאק	LOC
דוטשקעװ	LOC
דויג	LOC
דויד-הורודוק	LOC
דויץ	LOC
דולהא	LOC
דולהה פודובסקיה	LOC
דולוטה	LOC
דולז'קה	LOC
דוליטין	LOC
דולייא	LOC
דומאסעטש	LOC
דומאצ'וב	LOC
דומביה	LOC
דומבע	LOC
דומברובה טארנובסקה	LOC
דומברוביצה	LOC
דומעראָדע	LOC
דונאב	LOC
דונאוויץ	LOC
דונאיאב	LOC
דונאיוב	LOC
דונאיסקא סטרעדא	LOC
דונאיסקה סטרדה	LOC
דונאמאטש	LOC
דונאָמאָטש	LOC
דונאסערדאהעל	LOC
דונאסערדאהעלי	LOC
דונאַסערדאַהעלי	LOC
דונאסערדעהעל	LOC
דונאסרדאהלי	LOC
דונאפעלדוואר	LOC
דונאַפעלדװאַר	LOC
דונאַפֿעלדװאַר 	LOC
דונוביץ	LOC
דונייעץ	LOC
דונילאוויטש	LOC
דונילאָװיטש	LOC
דונילוביצ'ה	LOC
דונילעוויטש	LOC
דונילעװיטש	LOC
דונײ	LOC
דונײַ	LOC
דונײַסקאַ סטרעדאַ	LOC
דונקאוויץ	LOC
דונקאָװיץ	LOC
דוסאט	LOC
דוסיאט	LOC
דוסיאַט	LOC
דוסיאַט	LOC
דוסיאַט 	LOC
דוסעשט	LOC
דופין	LOC
דופליסקא	LOC
דוקאָר 	LOC
דוקלא	LOC
דוקלה	LOC
דוקלע	LOC
דוקסט	LOC
דוקעין	LOC
דוקשט	LOC
דוקשיצה	LOC
דורבאך	LOC
דורבאַך	LOC
דורבען	LOC
דורהעם	LOC
דורוהוי	LOC
דורוחוי	LOC
דורינג	LOC
דורינגא	LOC
דורינגן	LOC
דוריש	LOC
דורע	LOC
דושאט	LOC
דושינע	LOC
דושניק	LOC
דװאורט	LOC
דװאָראַן	LOC
דװאָריניק	LOC
דװאָריץ 	LOC
דװאָרעץ	LOC
דװוּרט 	LOC
דװין	LOC
דװינסק	LOC
דװעדעװיץ	LOC
דױג	LOC
דױג 	LOC
דױלאָ	LOC
דױלאָהאַז	LOC
דױלאָפעהערװאַר	LOC
דױלאָקוקא	LOC
דױמע	LOC
דױק	LOC
דױראָ	LOC
דױרע	LOC
דז'אביצה	LOC
דז'ויניאץ' גורני	LOC
דז'ורקוב	LOC
דז'יאלושין	LOC
דז'ייוויינישקי	LOC
דזאלאשיץ	LOC
דזאלישיטץ	LOC
דזאַרק	LOC
דזובנוגרוד	LOC
דזװיניעטש 	LOC
דזיאלאשיץ	LOC
דזיאלושיץ	LOC
דזילניץ	LOC
דזיעדזיץ	LOC
דזיקאב	LOC
דזיקאוו	LOC
דזיקוב	LOC
דזיקוב ישן	LOC
דזיקוב סטארי	LOC
דזעוויצא	LOC
דזערקאוו	LOC
דזערקאָװ	LOC
דזערקוב	LOC
דזשא.	LOC
דזשאשקעוו	LOC
דזשאַשקעװ 	LOC
דזשוויניאטש	LOC
דזשוזי סיטי	LOC
דזשוירזי סיטי	LOC
דזשורזי סיטי	LOC
דזשװיניאַטש	LOC
דזשיקאוו	LOC
דזשיקעוו	LOC
דזשיקעוו, אלט	LOC
דזשיקעװ	LOC
דזשירגעװע 	LOC
דזשעוויצע	LOC
דזשעװיצע	LOC
דזשעקסאנוויל	LOC
דזשרמיסטון	LOC
דיאָבעקעש	LOC
דיאויסעג	LOC
דיאוישאד	LOC
דיאוישדיאו	LOC
דיאימעש ?	LOC
דיאימעשביק	LOC
דיאימעשקעזעפלאק	LOC
דיאימעשקעזעפּלאָק	LOC
דיאלאהאַז	LOC
דיאלאקוט	LOC
דיאַלו	LOC
דיאלע	LOC
דיאַלע	LOC
דיאלעקאט	LOC
דיאלעקוטא	LOC
דיאלעקוטע	LOC
דיאלקוט	LOC
דיאמאר	LOC
דיאמע	LOC
דיאָמע	LOC
דיאנדאש	LOC
דיאנדיאש	LOC
דיאנדיעש	LOC
דיאנדיש	LOC
דיאסעג	LOC
דיאָסעג	LOC
דיאָסענטמאַרטאָן	LOC
דיאק	LOC
דיאקאווצע	LOC
דיאַקאָװצע	LOC
דיאַקװאָטיש	LOC
דיאר	LOC
דיארמאט	LOC
דיאָרמאָט	LOC
דיאָרמאָטסעלעק	LOC
דיאשאד	LOC
דיאָשאָד	LOC
דיאשגיער	LOC
דיאש דיאר	LOC
דיאשדיער	LOC
דיאָשדיער	LOC
דיבאהווע	LOC
דיבאווע	LOC
דיבאקע	LOC
די באָרגעס 	LOC
דיבווה	LOC
דיביווא	LOC
דיביווע	LOC
דיביװע	LOC
דיביניץ 	LOC
דיבינעװע 	LOC
דיביסאר	LOC
דיביק	LOC
דיביריניטש	LOC
דיבנע	LOC
דיבעווא	LOC
דיבעווע	LOC
דיבעװע	LOC
דיבעװע 	LOC
דיבענקע	LOC
דיבענקע 	LOC
דיבעצק	LOC
דיבראווע	LOC
דיבראווקע	LOC
דיבראַטעװ 	LOC
דיבריבקע	LOC
דיבריווקי	LOC
דיבריווקע	LOC
דיבריװקע	LOC
דיבריניטש	LOC
דיבריפקא	LOC
דיבריפקע	LOC
דיברעווקא	LOC
דיברעװקע 	LOC
דיגע	LOC
דידא	LOC
די דאָלענע 	LOC
דידיווע	LOC
דידיװע	LOC
דידימוטיכו	LOC
דידיע	LOC
דיהאלאר	LOC
דיהאָלאר	LOC
דיהרנפורט	LOC
דיהרענפורט	LOC
דיוויטקיב	LOC
דיווין	LOC
דיוויענישאק	LOC
דיווישאוועץ	LOC
דיווישיוויץ	LOC
דיווענישאק	LOC
דיולא	LOC
דיולאהאז	LOC
דיולהאז	LOC
דיולן	LOC
דיולע 	LOC
דיולעהאז	LOC
דיונדיוש	LOC
דיורא	LOC
דיורע	LOC
דיװין	LOC
דיװישאָװעץ	LOC
דיװענישאק	LOC
דיחטניצה	LOC
דיטלענהיים	LOC
דיטלענהײם	LOC
דיטנהיים	LOC
דיטנהײם	LOC
דיטרא	LOC
דיטראָ	LOC
דיטראָהאָדאָש	LOC
דיטרוי	LOC
דיטשא סענטמארטאן	LOC
דיטשע	LOC
דיטשעסענטמארטאן	LOC
דיטשעסענטמאַרטאָן	LOC
דיידעסהיים	LOC
דייטץ	LOC
דייטשלאנד	LOC
דייטש מאקרע	LOC
דיי נאבורג	LOC
דיינענדארף	LOC
דייסל	LOC
דילאהאז	LOC
דילאציץ	LOC
דילוטין	LOC
דילטשיװקע	LOC
דיליהאז	LOC
דיליוו	LOC
דיליטון	LOC
דיליטין	LOC
דילעווע	LOC
דילעװע 	LOC
דילעטין	LOC
דימאטריצע	LOC
דימא טשיווע	LOC
דימאציווע	LOC
דימינעשט	LOC
דימנעשט	LOC
דימער 	LOC
דימערקע 	LOC
דינאב	LOC
דינאבורג	LOC
דינאַבורג	LOC
דינאוויץ	LOC
דינאיוב	LOC
דינאמענט	LOC
דינאסערדאהעלי	LOC
דינגען	LOC
דינדוש	LOC
דינדיאש	LOC
דינדיש	LOC
דינדיש 	LOC
דינדעש	LOC
דינדש	LOC
דינוב	LOC
דינולאנא	LOC
דיניב	LOC
דיניווא	LOC
דינייעץ	LOC
דינסקיוואלע	LOC
דינעוו	LOC
דינעוויץ	LOC
דינעװ	LOC
דינעװ 	LOC
דינעװיץ 	LOC
דיסיני	LOC
דיסינע	LOC
דיסלדארף	LOC
דיסלדאָרף	LOC
דיסנא	LOC
דיסנאיא	LOC
דיסנאַיאָ	LOC
דיסנאשד	LOC
דיסנאָשד	LOC
דיסנאָשהאָרװאַט	LOC
דיסנע	LOC
דיסנע 	LOC
דיסעל	LOC
דיסעלדארף	LOC
דיעטקאָװזץ	LOC
דיעלען	LOC
דיעמערי	LOC
דיעמערע	LOC
דיעמעש	LOC
דיעמרע	LOC
דיעמרע 	LOC
דיענדיעש	LOC
דיענדיעשפאטא	LOC
דיענדיעשפּאָטאָ	LOC
דיענדיש	LOC
דיער	LOC
דיערדיאסענטמיקלאש	LOC
דיערדיאָסענטמיקלאָש	LOC
דיערטעלעק	LOC
דיערסענטמארטאן	LOC
דיערסענטמאַרטאָן	LOC
דיערע	LOC
דיערעש	LOC
דיפּאליע	LOC
דיפשע	LOC
דיקלא	LOC
דיקלע	LOC
דיקסאן	LOC
דיקסאן סיטי	LOC
דירא	LOC
דירבאך	LOC
דירװינע	LOC
דירמויל	LOC
דירמױל	LOC
דירמענאך	LOC
דירמענאַך	LOC
דירנוי	LOC
דירנױ	LOC
דירנפורט	LOC
דירע	LOC
דירקהיים	LOC
דירשוי	LOC
דירשױ	LOC
די שורעס 	LOC
דישטין	LOC
דישענעװ 	LOC
דײדעסהײם	LOC
דײַטשלאַנד	LOC
דײַטש מאָקרע 	LOC
דײנצנדאָרף	LOC
דײסל	LOC
דלאטין	LOC
דלהינאב	LOC
דלוגאשאדלע	LOC
דלוגאָשאדלע	LOC
דלוגוסיודלה	LOC
דלוגע	LOC
דלוהא	LOC
דלוהע	LOC
דלוהע קאלטשווע	LOC
דלוחע	LOC
דלוחע קאָלטשװע	LOC
דלי'	LOC
דליגע	LOC
דליהע	LOC
דליטע	LOC
דמבלין-אירנה	LOC
דמידובקה	LOC
דמיטראווקע	LOC
דמיטראָװקע	LOC
דמיטרוב	LOC
דמיטריווקא	LOC
דמיטרעווקע	LOC
דמיטרעװקע 	LOC
דמיית	LOC
דמיצ'ה	LOC
דמשך	LOC
דמשק	LOC
דנעשיץ	LOC
דנציג	LOC
דע-אאר	LOC
דעאַלו מאַרע	LOC
דעבערצין	LOC
דעברין	LOC
דעבריצין	LOC
דעבריש	LOC
דעברעד	LOC
דעברעטשען	LOC
דעברענין	LOC
דעברעצין	LOC
דעברעצין 	LOC
דעברעציניעש	LOC
דעברעצען	LOC
דעגינג	LOC
דעגינגען	LOC
דעדא	LOC
דעדאַ	LOC
דעדא ביסטרע	LOC
דעדװיץ	LOC
דעדלבאַך	LOC
דעדמאל	LOC
דעדע	LOC
דעדעש	LOC
דעדרא	LOC
דעווא	LOC
דעוואוואניע	LOC
דעוויטקעף	LOC
דעווינטער	LOC
דעווינישאק	LOC
דעוועטש	LOC
דעוועטשער	LOC
דעװאַ	LOC
דעװאַװאַניע	LOC
דעװינטער	LOC
דעװינישאָק	LOC
דעװעטש	LOC
דעװעטשער	LOC
דעװעלטאָװ	LOC
דעװעלטעװ	LOC
דעװענישאָק 	LOC
דעזמיר	LOC
דעזש	LOC
דעטווילער	LOC
דעטװילער	LOC
דעטלבאך	LOC
דעטלבאַך	LOC
דעטמאלד	LOC
דעטמאָלד	LOC
דעטען	LOC
דעטעק	LOC
דעטער	LOC
דעטראיט	LOC
דעיאטא	LOC
דעל.	LOC
דעלאטיטש	LOC
דעלאַטיטש	LOC
דעלאטין	LOC
דעלאַטין	LOC
דעלאיטיץ	LOC
דעלאנטין	LOC
דעלהיים	LOC
דעלוטין	LOC
דעלטין	LOC
דעליאטיץ	LOC
דעליטין	LOC
דעליטץ	LOC
דעליטשן	LOC
דעלמע	LOC
דעלעטין	LOC
דעלעטין 	LOC
דעלענקע	LOC
דעלעפֿינעװקע 	LOC
דע מאינס	LOC
דעמבאווצע	LOC
דעמבאָװצע	LOC
דעמבינע	LOC
דעמביץ	LOC
דעמביץ 	LOC
דעמביצע	LOC
דעמבלין	LOC
דעמבלין-מאדזשיץ	LOC
דעמבלין-מאָדזשיץ	LOC
דעמבעװ 	LOC
דעמבעץ	LOC
דעמיאטשע	LOC
דעמיאַטשע	LOC
דעמידעווקע	LOC
דעמידעװקע 	LOC
דעמיטשי	LOC
דעמין	LOC
דעמינהאַז	LOC
דעמיעװקע	LOC
דעמיִעװקע 	LOC
דעמניע	LOC
דעמניק	LOC
דעמעטע	LOC
דעמעטשער	LOC
דעמשעד	LOC
דענאבארג	LOC
דענאבורג	LOC
דענבורג	LOC
דענביץ	LOC
דענגיליט	LOC
דענגעלעג	LOC
דענדיש	LOC
דענווערקולרדא	LOC
דענילעװ	LOC
דענמאַרק	LOC
דענעבארג	LOC
דענעבאָרג 	LOC
דענעבורג	LOC
דענעמנטע	LOC
דענענבורג	LOC
דעסא	LOC
דעסוי	LOC
דעסויא	LOC
דעס מאינעס	LOC
דעסעט	LOC
דעסעשט 	LOC
דעעש	LOC
דעפאליע	LOC
דעקינגען	LOC
דעראייזין	LOC
דערבאן	LOC
דערהאוי	LOC
דערהטשין	LOC
דערהיטשין	LOC
דערהיעף	LOC
דערז	LOC
דער זאַמד	LOC
דעריטשין	LOC
דעריטשקע	LOC
דערנע	LOC
דערנקום	LOC
דערעדטשקא	LOC
דערעוונע	LOC
דערעטשין	LOC
דערעטשקא	LOC
דערעטשקי	LOC
דערעטשקע	LOC
דערעטשקע 	LOC
דערעשק	LOC
דערפט	LOC
דערפּט 	LOC
דערפלעס	LOC
דערפּעט 	LOC
דערפעל	LOC
דערצין	LOC
דערצען	LOC
דערש	LOC
דערש ?	LOC
דערשווי	LOC
דעש	LOC
דעש 	LOC
דעשאקנע	LOC
דעשאַקנע	LOC
דעשװעץ 	LOC
דעשע	LOC
דעשפאלא	LOC
דעשפאלווא	LOC
דעשש	LOC
דקשניה	LOC
דראבאוו	LOC
דראַבאָװ	LOC
דראביאן	LOC
דראָביאַן	LOC
דראָביאַן	LOC
דראביטש	LOC
דראָביטש	LOC
דראָביטש 	LOC
דראבין	LOC
דראָבין	LOC
דראבנין	LOC
דראָבנין	LOC
דראג	LOC
דראַג	LOC
דראגאמירעשט	LOC
דראגימירעשט	LOC
דראַגימירעשט	LOC
דראגין	LOC
דראָגין	LOC
דראגמארעשט	LOC
דראגמירעשט	LOC
דראגמערעשט	LOC
דראגמרעשד	LOC
דראגע	LOC
דראַגע	LOC
דראגצין	LOC
דראהאביטש	LOC
דראהאביץ	LOC
דראָהאָװיץ	LOC
דראהביטץ	LOC
דראהביטש	LOC
דראה ביטש	LOC
דראהוביטש	LOC
דראָהוביטש	LOC
דרא הויב	LOC
דראהיוו	LOC
דראָהיװ	LOC
דראהיטשין	LOC
דראָהיטשין	LOC
דראָהיטשין 	LOC
דראהייף	LOC
דראהיף	LOC
דראוויץ	LOC
דראַװיץ	LOC
דראז'נה	LOC
דראזגניק	LOC
דראַזין	LOC
דראזניא	LOC
דראזנעווע	LOC
דראַזנעװע	LOC
דראזע	LOC
דראַזשנע 	LOC
דראטשין	LOC
דראַטשיניץ 	LOC
דראַטשענע 	LOC
דראמבורג	LOC
דראַמבורג	LOC
דראמישלע	LOC
דראָמישלע	LOC
דראַנזשעװע	LOC
דראסן	LOC
דראָסן	LOC
דראסק	LOC
דראקװי	LOC
דראָשאָװיץ	LOC
דראשקווי	LOC
דרביאן	LOC
דרהוי	LOC
דרוביאן	LOC
דרובייאן	LOC
דרובין	LOC
דרוגעטהאַזע	LOC
דרוהוביטש	LOC
דרוהיטשין	LOC
דרוואליף	LOC
דרוזגענוג	LOC
דרוזגעניק	LOC
דרוזגעניק 	LOC
דרויא	LOC
דרויסק	LOC
דרויע	LOC
דרוּיע 	LOC
דרוסקינינקאי	LOC
דרוקה	LOC
דרושקאפאליא	LOC
דרושקופול	LOC
דרושקפאלי	LOC
דרװיל	LOC
דרױע	LOC
דריביאן	LOC
דריבין	LOC
דרידיוי	LOC
דריזן	LOC
דריזען	LOC
דריטעמי	LOC
דריטעמע	LOC
דרילטש	LOC
דרילטש 	LOC
